,drug_name,Disabled macroautophagy count,Disabled macroautophagy count marg,Disabled macroautophagy,Disabled macroautophagy marg,Cmap pAGE Disabled macroautophagy level1,Cmap pAGE Disabled macroautophagy level2,Cmap pAGE Disabled macroautophagy level3,Cmap pAGE Disabled macroautophagy level4,Cmap pAGE Disabled macroautophagy level5,Cmap pAGE Disabled macroautophagy level1 z_score,Cmap pAGE Disabled macroautophagy level2 z_score,Cmap pAGE Disabled macroautophagy level3 z_score,Cmap pAGE Disabled macroautophagy level4 z_score,Cmap pAGE Disabled macroautophagy level5 z_score
1100,"{4-amino-2-[(4-methoxyphenyl)amino]-1,3-thiazol-5-yl}(4-methoxyphenyl)methanone",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1101,saccharin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1102,sodium fluoride,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1103,alpha-naphthoflavone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1104,dimetindene,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1105,didanosine,0,0,[],[],,0.0,0.0,0.0,0.2,0,0,0.0,0.0,0.894427190999916
1106,romidepsin,0,0,[],[],,0.0,0.0,0.0,-0.3,0,0,0.0,0.0,-1.3416407864998738
1107,glycochenodeoxycholic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1108,celiprolol,0,0,[],[],,0.0,-1.0,-1.0,-0.1,0,0,-1.4142135623730951,-1.4142135623730951,-0.447213595499958
1109,dicyclomine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1110,benralizumab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1111,glycocholic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1112,rolofylline,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1113,sulpiride,0,0,[],[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
1114,diclofenamide,0,0,[],[],,0.0,-1.0,-1.0,0.6,0,0,-1.4142135623730951,-1.4142135623730951,2.6832815729997477
1115,[4-({4-[(5-cyclopropyl-1h-pyrazol-3-yl)amino]-6-(methylamino)pyrimidin-2-yl}amino)phenyl]acetonitrile,0,2,[],"[3, 4]",,,,,,0,0,0.0,0.0,0.0
1116,diclofenac,0,0,[],[],,0.0,-1.0,-1.0,0.1,0,0,-1.4142135623730951,-1.4142135623730951,0.447213595499958
1117,sufugolix,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1118,sulconazole,0,0,[],[],,0.0,0.0,0.0,-0.2,0,0,0.0,0.0,-0.894427190999916
1119,difelikefalin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1120,ceruletide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1121,(s)-1-phenyl-1-[4-(9h-purin-6-yl)phenyl]methanamine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1122,ceritinib,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1123,tadalafil,0,0,[],[],,0.0,1.0,1.0,-0.2,0,0,1.4142135623730951,1.4142135623730951,-0.894427190999916
1124,tafamidis,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1125,dexamethasone,0,0,[],[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
1126,tafenoquine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1127,dexchlorpheniramine,0,0,[],[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
1128,deutetrabenazine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1129,tagraxofusp,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1130,rociverine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1131,deucravacitinib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1132,glycopyrronium,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1133,talarozole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1134,cetilistat,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1135,[2(formyl-hydroxy-amino)-ethyl]-phosphonic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1136,rocaglamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1137,oxalic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1138,ataluren,0,0,[],[],,0.0,0.0,0.0,0.1,0,0,0.0,0.0,0.447213595499958
1139,ttp889,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1140,benzthiazide,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1141,ceftriaxone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1142,(s)-econazole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1143,(s)-wiskostatin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1144,capmatinib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1145,bendamustine,0,0,[],[],,0.0,0.0,0.0,-0.1,0,0,0.0,0.0,-0.447213595499958
1146,adenosine-2'-5'-diphosphate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1147,encainide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1148,diethylcarbamazine,0,0,[],[],,0.0,1.0,1.0,0.0,0,0,1.4142135623730951,1.4142135623730951,0.0
1149,(2-bromoethyl)(2-'formyl-4'-aminophenyl) acetate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1150,enclomiphene,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1151,(2-carbamoylmethyl-5-propyl-octahydro-indol-7-yl)acetic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1152,dexbrompheniramine,0,0,[],[],,0.0,1.0,1.0,0.4,0,0,1.4142135623730951,1.4142135623730951,1.788854381999832
1153,encorafenib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1154,cefuroxime,0,0,[],[],,0.0,1.0,1.0,0.3,0,0,1.4142135623730951,1.4142135623730951,1.3416407864998738
1155,sulfamoxole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1156,sulfaphenazole,0,0,[],[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
1157,ropeginterferon alfa-2b,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1158,belzutifan,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1159,benzocaine,0,0,[],[],,0.0,1.0,1.0,-0.3,0,0,1.4142135623730951,1.4142135623730951,-1.3416407864998738
1160,cepeginterferon alfa-2b,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1161,atomoxetine,0,0,[],[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
1162,dimenhydrinate,0,0,[],[],,0.0,1.0,1.0,-0.1,0,0,1.4142135623730951,1.4142135623730951,-0.447213595499958
1163,5-hydroxy-2-(4-hydroxyphenyl)-1-benzofuran-7-carbonitrile,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1164,"3,5-diiodotyrosine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1165,5-beta-d-ribofuranosylnicotinamide adenine dinucleotide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1166,cephaloglycin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1167,lisinopril,0,0,[],[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
1168,chlordiazepoxide,0,0,[],[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
1169,lidorestat,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1170,cts-21166,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1171,glecaprevir,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1172,para-nitrophenyl 1-thio-beta-d-glucopyranoside,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1173,cenisertib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1174,cemiplimab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1175,5-fluorotryptophan,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1176,"5-[(phenylsulfonyl)amino]-1,3,4-thiadiazole-2-sulfonamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1177,ovalicin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1178,celecoxib,0,0,[],[],,0.0,0.0,0.0,0.2,0,0,0.0,0.0,0.894427190999916
1179,ouabain,0,0,[],[],,0.0,0.0,0.0,-0.1,0,0,0.0,0.0,-0.447213595499958
1180,chloroprocaine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1181,levonordefrin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1182,lonoctocog alfa,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1183,levomenthol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1184,liraglutide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1185,5-aminonaphthalene-2-sulfonic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1186,cabotegravir,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1187,lupeol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1188,lubiprostone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1189,2-{[4-(4-pyridin-4-yl-1h-pyrazol-3-yl)phenoxy]methyl}quinoline,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1190,leucine phosphonic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1191,cholic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1192,lumateperone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1193,lumichrome,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1194,"5-methyl-n-[4-(trifluoromethyl)phenyl][1,2,4]triazolo[1,5-a]pyrimidin-7-amine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1195,"3',5'-dibromo-2',4,4',6'-tetrahydroxy aurone",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1196,chorionic gonadotropin (human),0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1197,loprazolam,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1198,adipiplon,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1199,leronlimab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1200,5-iodouracil,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1201,lurasidone,0,1,[],[5],,0.0,-1.0,-1.0,-0.1,0,0,-1.4142135623730951,-1.4142135623730951,-0.447213595499958
1202,cp-744809,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1203,levobunolol,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1204,5-hydroxy-n-propargyl-1(r)-aminoindan,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1205,chlorprothixene,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1206,chloroquine,0,0,[],[],,0.0,0.0,0.0,-0.1,0,0,0.0,0.0,-0.447213595499958
1207,ct-011,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1208,cefepime,0,0,[],[],,0.0,-1.0,-1.0,-0.4,0,0,-1.4142135623730951,-1.4142135623730951,-1.788854381999832
1209,levodopa,0,0,[],[],,0.0,-1.0,-1.0,0.0,0,0,-1.4142135623730951,-1.4142135623730951,0.0
1210,"6-aminohexyl-uridine-c1,5'-diphosphate",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1211,camrelizumab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1212,carboxymycobactin t,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1213,carboxymycobactin s,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1214,cinolazepam,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1215,l-thioproline,0,2,[],"[3, 4]",,,,,,0,0,0.0,0.0,0.0
1216,l-methionine (s)-s-oxide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1217,l-methionine (r)-s-oxide,0,1,[],[2],,,,,,0,0,0.0,0.0,0.0
1218,5-aminouracil,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1219,mf101,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1220,"adenosine 3',5'-diphosphate",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1221,guanidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1222,camazepam,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1223,carteolol,0,0,[],[],,0.0,-1.0,-1.0,-0.1,0,0,-1.4142135623730951,-1.4142135623730951,-0.447213595499958
1224,lecanemab,0,1,[],[2],,,,,,0,0,0.0,0.0,0.0
1225,lauryl alcohol diphosphonic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1226,lysergic acid diethylamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1227,lysophosphotidylserine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1228,latrunculin a,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1229,lg-100268,0,2,[],"[3, 4]",,,,,,0,0,0.0,0.0,0.0
1230,mpi-674,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1231,6-(hydroxyethyldithio)-8-(aminomethylthio)octanoic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1232,acyclovir,0,0,[],[],,0.0,0.0,0.0,-0.1,0,0,0.0,0.0,-0.447213595499958
1233,chlorphenesin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1234,levobupivacaine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1235,"6-chloro-3-(dichloromethyl)-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1236,lutropin alfa,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1237,ledipasvir,0,0,[],[],,0.0,-1.0,-1.0,0.2,0,0,-1.4142135623730951,-1.4142135623730951,0.894427190999916
1238,6-(2-hydroxy-cyclopentyl)-7-oxo-heptanamidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1239,olcegepant,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1240,ly2140023,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1241,cinalukast,0,0,[],[],,0.0,-1.0,-1.0,-0.4,0,0,-1.4142135623730951,-1.4142135623730951,-1.788854381999832
1242,mmi-175,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1243,ly-2608204,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1244,mk-5108,0,0,[],[],,0.0,1.0,1.0,0.3,0,0,1.4142135623730951,1.4142135623730951,1.3416407864998738
1245,olutasidenib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1246,cinazepam,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1247,lll-3348,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1248,5-chloro-6-methyl-n-(2-phenylethyl)-2-pyridin-2-ylpyrimidin-4-amine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1249,guanfacine,0,0,[],[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
1250,mln8054,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1251,ginsenoside rg1,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1252,ginsenoside rb1,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1253,cholecystokinin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1254,loxapine,0,0,[],[],,0.0,1.0,1.0,-0.1,0,0,1.4142135623730951,1.4142135623730951,-0.447213595499958
1255,rosuvastatin,0,0,[],[],,0.0,0.0,0.0,-0.3,0,0,0.0,0.0,-1.3416407864998738
1256,2-mercaptobenzothiazole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1257,cefoperazone,0,0,[],[],,0.0,-1.0,-1.0,-0.2,0,0,-1.4142135623730951,-1.4142135623730951,-0.894427190999916
1258,dihydrexidine,0,0,[],[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
1259,strontium chloride sr-89,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1260,spironolactone,0,0,[],[],,0.0,0.0,0.0,-0.1,0,0,0.0,0.0,-0.447213595499958
1261,roxadustat,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1262,rotigotine,0,0,[],[],,0.0,1.0,1.0,-0.2,0,0,1.4142135623730951,1.4142135623730951,-0.894427190999916
1263,calcium citrate,0,1,[],[5],,,,,,0,0,0.0,0.0,0.0
1264,"1,2-diacyl-sn-glycero-3-phosphoinositol",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1265,dihydralazine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1266,ceftizoxime,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1267,stiripentol,0,0,[],[],,0.0,0.0,0.0,0.4,0,0,0.0,0.0,1.788854381999832
1268,enasidenib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1269,st. john's wort,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1270,enalkiren,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1271,l-alpha-glycerophosphorylserine,0,2,[],"[3, 4]",,,,,,0,0,0.0,0.0,0.0
1272,l-baclofen,0,1,[],[5],,,,,,0,0,0.0,0.0,0.0
1273,pq-10,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1274,captodiame,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1275,caprylic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1276,cefradine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1277,ceftibuten,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1278,alpha-l-methyl-fucose,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1279,gentian violet cation,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1280,sphinxolide b,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1281,axicabtagene ciloleucel,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1282,dihydro-alpha-ergocryptine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1283,"({[(3e)-2'-oxo-2',7'-dihydro-2,3'-biindol-3(7h)-ylidene]amino}oxy)acetic acid",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1284,rosoxacin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1285,streptozocin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1286,cefotaxime,0,0,[],[],,0.0,-1.0,-1.0,-0.3,0,0,-1.4142135623730951,-1.4142135623730951,-1.3416407864998738
1287,"(z,z)-4-hydroxy-n,n,n-trimethyl-10-oxo-7-[(1-oxo-9-octadecenyl)oxy]-3,5,9-trioxa-4-phosphaheptacos-18-en-1-aminium-4-oxide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1288,"1,1,1-trifluoro-3-acetamido-4-phenyl butan-2-one(n-acetyl-l-phenylalanyl trifluoromethyl ketone)",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1289,cefotiam,0,0,[],[],,0.0,0.0,0.0,0.3,0,0,0.0,0.0,1.3416407864998738
1290,gestodene,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1291,"(1s,2s,3r,4s,5s)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl (1e)-2-phenyl-n-(sulfooxy)ethanimidothioate",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1292,"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1293,calcium phosphate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1294,(z)-2-[2-(4-methylpiperazin-1-yl)benzyl]diazenecarbothioamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1295,"1,1,1-trifluoro-3-((n-acetyl)-l-leucylamido)-4-phenyl-butan-2-one(n-acetyl-l-leucyl-l-phenylalanyl trifluoromethyl ketone)",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1296,cannabidiol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1297,cannabinol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1298,carbamazepine,0,0,[],[],,0.0,1.0,1.0,0.6,0,0,1.4142135623730951,1.4142135623730951,2.6832815729997477
1299,liothyronine i-131,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1300,5-(dimethylamino)-2-naphthalenesulfonic acid,0,1,[],[5],,,,,,0,0,0.0,0.0,0.0
1301,mangafodipir,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1302,gimatecan,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1303,maprotiline,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1304,capecitabine,0,0,[],[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
1305,"phenyl-5-(1h-pyrazol-3-yl)-1,3-thiazole",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1306,"2-{[(1r,2s)-2-aminocyclohexyl]amino}-4-[(3-methylphenyl)amino]pyrimidine-5-carboxamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1307,manidipine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1308,canagliflozin,0,0,[],[],,0.0,0.0,0.0,0.1,0,0,0.0,0.0,0.447213595499958
1309,matairesinol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1310,lorazepam,0,0,[],[],,0.0,0.0,0.0,0.4,0,0,0.0,0.0,1.788854381999832
1311,chlortetracycline,0,0,[],[],,0.0,1.0,1.0,0.4,0,0,1.4142135623730951,1.4142135623730951,1.788854381999832
1312,levamisole,0,0,[],[],,0.0,1.0,1.0,0.0,0,0,1.4142135623730951,1.4142135623730951,0.0
1313,chlorthalidone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1314,lorlatinib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1315,chlorzoxazone,0,0,[],[],,0.0,0.0,0.0,0.3,0,0,0.0,0.0,1.3416407864998738
1316,lormetazepam,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1317,cefmetazole,0,0,[],[],,0.0,-1.0,-1.0,0.3,0,0,-1.4142135623730951,-1.4142135623730951,1.3416407864998738
1318,ketazolam,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1319,masoprocol,0,0,[],[],,0.0,0.0,0.0,-0.1,0,0,0.0,0.0,-0.447213595499958
1320,margetuximab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1321,magnesium sulfate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1322,afamelanotide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1323,carboprost tromethamine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1324,clarithromycin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1325,maralixibat,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1326,glibornuride,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1327,6-morpholin-4-yl-9h-purine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1328,gibberellic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1329,ketamine,0,1,[],[5],,,,,,0,0,0.0,0.0,0.0
1330,"2-{2-[(3,5-dimethylphenyl)amino]pyrimidin-4-yl}-n-[(1s)-2-hydroxy-1-methylethyl]-4-methyl-1,3-thiazole-5-carboxamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1331,gibberellin a4,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1332,"mdl 101,146",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1333,ketoconazole,0,0,[],[],,0.0,-1.0,-1.0,-0.2,0,0,-1.4142135623730951,-1.4142135623730951,-0.894427190999916
1334,6-[2-(3'-methoxybiphenyl-3-yl)ethyl]pyridin-2-amine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1335,mant-adp,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1336,cad106,0,1,[],[2],,,,,,0,0,0.0,0.0,0.0
1337,cisatracurium,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1338,6-carboxymethyluracil,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1339,malonate ion,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1340,dalteparin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1341,finafloxacin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1342,bisacodyl,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1343,"1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1344,sevoflurane,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1345,pentoxifylline,0,0,[],[],,0.0,0.0,0.0,0.4,0,0,0.0,0.0,1.788854381999832
1346,1-[(2r)-2-aminobutanoyl]-n-(4-carbamimidoylbenzyl)-l-prolinamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1347,pancuronium,0,0,[],[],,0.0,-1.0,-1.0,-0.3,0,0,-1.4142135623730951,-1.4142135623730951,-1.3416407864998738
1348,1-(5-chloro-2-methoxyphenyl)-3-{6-[2-(dimethylamino)-1-methylethoxy]pyrazin-2-yl}urea,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1349,"1-(5-{2-[(1-methyl-1h-pyrazolo[4,3-d]pyrimidin-7-yl)amino]ethyl}-1,3-thiazol-2-yl)-3-[3-(trifluoromethyl)phenyl]urea",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1350,so-101,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1351,piperaquine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1352,ganirelix,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1353,agomelatine,0,0,[],[],,0.0,1.0,1.0,-0.1,0,0,1.4142135623730951,1.4142135623730951,-0.447213595499958
1354,palonosetron,0,0,[],[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
1355,pipotiazine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1356,pipradrol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1357,pirbuterol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1358,slx-4090,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1359,pirlindole,0,0,[],[],,0.0,-1.0,-1.0,0.1,0,0,-1.4142135623730951,-1.4142135623730951,0.447213595499958
1360,"1-methyl-3-oxo-1,3-dihydro-benzo[c]isothiazole-5-sulfonic acid amide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1361,pinazepam,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1362,palmitoyl-linoleoyl phosphatidylcholine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1363,"1-(2,5-dideoxy-5-pyrrolidin-1-yl-beta-l-erythro-pentofuranosyl)-5-methylpyrimidine-2,4(1h,3h)-dione",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1364,paramethasone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1365,paramethadione,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
