,drug_name,Genomic instability count,Genomic instability count marg,Genomic instability,Genomic instability marg,Cmap pAGE Genomic instability level1,Cmap pAGE Genomic instability level2,Cmap pAGE Genomic instability level3,Cmap pAGE Genomic instability level4,Cmap pAGE Genomic instability level5,Cmap pAGE Genomic instability level1 z_score,Cmap pAGE Genomic instability level2 z_score,Cmap pAGE Genomic instability level3 z_score,Cmap pAGE Genomic instability level4 z_score,Cmap pAGE Genomic instability level5 z_score
1800,pertuzumab,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1801,phenacemide,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1802,secretin human,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1803,phenazopyridine,0,0,[],[],1.0,0.0,0.3333333333333333,-0.04,-0.0136986301369863,1.0,0.0,0.8164965809277259,-0.1999999999999999,-0.1655211777204736
1804,secobarbital,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1805,phenobarbital,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1806,peginterferon alfa-2b,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1807,saxagliptin,0,0,[],[],-1.0,-1.0,-0.3333333333333333,-0.36,0.0410958904109589,-1.0,-1.4142135623730951,-0.8164965809277259,-1.7999999999999998,0.4965635331614207
1808,2-undecanone,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1809,"sar9, met (o2)11-substance p",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1810,1-chloro-6-(4-hydroxyphenyl)-2-naphthol,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1811,1-deaza-adenosine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1812,salbutamol,0,0,[],[],-1.0,-1.0,-0.6666666666666666,-0.04,-0.1095890410958904,-1.0,-1.4142135623730951,-1.6329931618554518,-0.1999999999999999,-1.3241694217637887
1813,phenytoin,0,0,[],[],1.0,0.0,-0.3333333333333333,-0.2,-0.136986301369863,1.0,0.0,-0.8164965809277259,-1.0,-1.655211777204736
1814,su-11652,0,0,[],[],-1.0,0.0,0.6666666666666666,-0.12,-0.0547945205479452,-1.0,0.0,1.6329931618554518,-0.6,-0.6620847108818944
1815,phosphoaminophosphonic acid guanylate ester,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1816,paliperidone,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1817,sobetirome,0,0,[],[],1.0,0.0,0.6666666666666666,0.28,0.0958904109589041,1.0,0.0,1.6329931618554518,1.4,1.158648244043315
1818,purine riboside-5'-monophosphate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1819,"12-(2-hydroxyethyl)-2-(1-methylethoxy)-13,14-dihydronaphtho[2,1-a]pyrrolo[3,4-c]carbazol-5(12h)-one",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1820,"2-(1,3-thiazol-4-yl)-1h-benzimidazole-5-sulfonamide",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1821,2-(1h-pyrazol-3-yl)-1h-benzimidazole,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1822,2-(4-hydroxy-phenyl)benzofuran-5-ol,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1823,pentagastrin,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1824,ropivacaine,0,0,[],[],1.0,1.0,0.0,-0.36,-0.0410958904109589,1.0,1.4142135623730951,0.0,-1.7999999999999998,-0.4965635331614207
1825,2-(4-chloro-phenylamino)-nicotinic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1826,pegademase,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1827,pyridoxal,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1828,pyrithiamine pyrophosphate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1829,"2-(3-((4,5,7-trifluorobenzo[d]thiazol-2-yl)methyl)-1h-pyrrolo[2,3-b]pyridin-1-yl)acetic acid",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1830,rolapitant,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1831,"16,17-androstene-3-ol",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1832,17alpha-estriol,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1833,pentabromophenol,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1834,penicillamine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1835,qr-333,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1836,quazepam,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1837,quetiapine,0,0,[],[],-1.0,0.0,0.6666666666666666,0.12,0.1095890410958904,-1.0,0.0,1.6329931618554518,0.6,1.3241694217637887
1838,"2,3,5,6-tetrafluoro-4-methoxy-benzamide",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1839,"2,4-difluorobenzyl alcohol 2,4-difluoro-1-(hydroxymethyl)benzene",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1840,rasagiline,0,0,[],[],1.0,0.0,0.3333333333333333,0.44,0.0821917808219178,1.0,0.0,0.8164965809277259,2.1999999999999997,0.9931270663228416
1841,relebactam,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1842,riluzole,0,0,[],[],-1.0,0.0,0.3333333333333333,-0.12,0.0547945205479452,-1.0,0.0,0.8164965809277259,-0.6,0.6620847108818944
1843,rifampicin,0,0,[],[],1.0,0.0,-0.3333333333333333,-0.04,-0.0684931506849315,1.0,0.0,-0.8164965809277259,-0.1999999999999999,-0.827605888602368
1844,2'-cytidylic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1845,rifabutin,0,0,[],[],1.0,1.0,1.0,0.44,0.0821917808219178,1.0,1.4142135623730951,2.449489742783178,2.1999999999999997,0.9931270663228416
1846,"2'-deoxycytidine-2'-deoxyadenosine-3',5'-monophosphate",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1847,2'-fluoro-2'-deoxyuridine 3'-monophosphate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1848,"2,3,-dihydroxybenzoylserine",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1849,rhein,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1850,"2,3,4,5,6-pentafluorobenzyl alcohol",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1851,rpi-78m,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1852,pentamidine,0,0,[],[],1.0,1.0,-0.3333333333333333,0.2,-0.0136986301369863,1.0,1.4142135623730951,-0.8164965809277259,1.0,-0.1655211777204736
1853,"2,6-difluorobenzenesulfonamide",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1854,"2,3-difluorobenzyl alcohol",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1855,"2,3-dihydroxy-benzoic acid",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1856,"2,5-di-tert-butylhydroquinone",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1857,remimazolam,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1858,ranirestat,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1859,rivanicline,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1860,ritonavir,0,0,[],[],1.0,1.0,1.0,0.28,0.0547945205479452,1.0,1.4142135623730951,2.449489742783178,1.4,0.6620847108818944
1861,sodium acetate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1862,pentobarbital,0,0,[],[],-1.0,0.0,0.3333333333333333,-0.52,-0.1780821917808219,-1.0,0.0,0.8164965809277259,-2.6,-2.1517753103661565
1863,1-(4-hexylphenyl)prop-2-en-1-one,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1864,gs 0573,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1865,selumetinib,0,0,[],[],-1.0,-1.0,0.3333333333333333,0.2,0.1095890410958904,-1.0,-1.4142135623730951,0.8164965809277259,1.0,1.3241694217637887
1866,pemetrexed,0,0,[],[],1.0,0.0,-0.6666666666666666,-0.28,0.0,1.0,0.0,-1.6329931618554518,-1.4,0.0
1867,selpercatinib,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1868,"1-(4-methoxyphenyl)-3,5-dimethyl-1h-pyrazole-4-carboxylic acid ethyl ester",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1869,alefacept,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1870,seletracetam,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1871,pentostatin,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1872,quinidine,0,0,[],[],-1.0,-1.0,-1.0,-0.2,-0.0821917808219178,-1.0,-1.4142135623730951,-2.449489742783178,-1.0,-0.9931270663228416
1873,pegvisomant,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1874,"2-[4-(4-hydroxy-3-isopropyl-phenoxy)-3,5-dimethyl-phenyl]-2h-[1,2,4]triazine-3,5-dione",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1875,setiptiline,0,0,[],[],-1.0,0.0,0.0,0.12,-0.0547945205479452,-1.0,0.0,0.0,0.6,-0.6620847108818944
1876,setmelanotide,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1877,2-chloro-5-[(1s)-1-hydroxy-3-oxo-2h-isoindol-1-yl]benzenesulfonamide,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1878,sofalcone,0,0,[],[],-1.0,0.0,0.3333333333333333,0.04,0.0342465753424657,-1.0,0.0,0.8164965809277259,0.1999999999999999,0.413802944301184
1879,paclitaxel,0,0,[],[],1.0,1.0,0.0,-0.36,-0.273972602739726,1.0,1.4142135623730951,0.0,-1.7999999999999998,-3.310423554409472
1880,sodium oxybate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1881,"1-(4-aminophenyl)-3,5-dimethyl-1h-pyrazole-4-carboxylic acid ethyl ester",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1882,paroxetine,0,0,[],[],-1.0,0.0,0.6666666666666666,-0.28,-0.0410958904109589,-1.0,0.0,1.6329931618554518,-1.4,-0.4965635331614207
1883,peginterferon beta-1a,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1884,serotonin,0,0,[],[],1.0,0.0,-0.6666666666666666,-0.12,-0.0890410958904109,1.0,0.0,-1.6329931618554518,-0.6,-1.0758876551830785
1885,2'-monophosphoadenosine-5'-diphosphate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1886,"2-(2-{2-[2-(2-{2-[2-(2-ethoxy-ethoxy)-ethoxy]-ethoxy}-ethoxy)-ethoxy]-ethoxy}-ethoxy)-ethanol, polyethyleneglycol peg400",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1887,r-348,0,1,[],[2],,,,,,0.0,0.0,0.0,0.0,0.0
1888,r673,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1889,"1-{5-[2-(thieno[3,2-d]pyrimidin-4-ylamino)ethyl]-1,3-thiazol-2-yl}-3-[3-(trifluoromethyl)phenyl]urea",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1890,"1,4-dithiothreitol",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1891,"2-({[3,5-difluoro-3'-(trifluoromethoxy)biphenyl-4-yl]amino}carbonyl)cyclopent-1-ene-1-carboxylic acid",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1892,alendronic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1893,potassium bicarbonate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1894,"2-[3-chloro-6-[2,2-difluoro-2-(1-oxidopyridin-1-ium-2-yl)ethyl]imino-1-hydroxypyridin-2-yl]-n-[(1r)-1-(3-chlorophenyl)ethyl]acetamide",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1895,2-[3-({methyl[1-(2-naphthoyl)piperidin-4-yl]amino}carbonyl)-2-naphthyl]-1-(1-naphthyl)-2-oxoethylphosphonic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1896,sertraline,0,0,[],[],-1.0,-1.0,-0.3333333333333333,-0.04,-0.1095890410958904,-1.0,-1.4142135623730951,-0.8164965809277259,-0.1999999999999999,-1.3241694217637887
1897,pazopanib,0,0,[],[],-1.0,0.0,-0.3333333333333333,-0.28,-0.1917808219178082,-1.0,0.0,-0.8164965809277259,-1.4,-2.31729648808663
1898,"1-(2-{[(6-amino-2-methylpyridin-3-yl)methyl]amino}ethyl)-6-chloro-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-1,4-dihydropyrazin-2-ol",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1899,"2-[3-(2-hydroxy-1,1-dihydroxymethyl-ethylamino)-propylamino]-2-hydroxymethyl-propane-1,3-diol",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1900,penbutolol,0,0,[],[],-1.0,-1.0,-0.6666666666666666,-0.44,-0.1095890410958904,-1.0,-1.4142135623730951,-1.6329931618554518,-2.1999999999999997,-1.3241694217637887
1901,pegaspargase,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1902,oxaloacetate ion,0,1,[],[1],,,,,,0.0,0.0,0.0,0.0,0.0
1903,"3,5-difluorobenzenesulfonamide",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1904,"3,5-dimethyl-1-(3-nitrophenyl)-1h-pyrazole-4-carboxylic acid ethyl ester",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1905,butriptyline,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1906,isopropamide,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1907,clofibrate,0,0,[],[],1.0,0.0,-0.3333333333333333,-0.2,-0.0821917808219178,1.0,0.0,-0.8164965809277259,-1.0,-0.9931270663228416
1908,"7,8-dihydroinosine",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1909,clofedanol,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1910,butobarbital,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1911,6-phospho-d-gluconic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1912,6-hydroxydopa quinone,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1913,ixabepilone,0,1,[],[1],-1.0,0.0,0.6666666666666666,0.28,0.1232876712328767,-1.0,0.0,1.6329931618554518,1.4,1.4896905994842622
1914,jnj-17216498,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1915,bupranolol,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1916,clobazam,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1917,jnj-27390467,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1918,"6-hydroxy-1,6-dihydro purine nucleoside",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1919,k201 free base,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1920,"7-pyridin-2-yl-n-(3,4,5-trimethoxyphenyl)-7h-pyrrolo[2,3-d]pyrimidin-2-amine",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1921,bulevirtide,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1922,isoleucine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1923,7-[(3-chlorobenzyl)oxy]-2-oxo-2h-chromene-4-carbaldehyde,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1924,clomethiazole,0,1,[],[3],-1.0,-1.0,-0.6666666666666666,-0.04,0.1780821917808219,-1.0,-1.4142135623730951,-1.6329931618554518,-0.1999999999999999,2.1517753103661565
1925,butalbital,0,0,[],[],-1.0,0.0,-0.6666666666666666,-0.28,-0.0136986301369863,-1.0,0.0,-1.6329931618554518,-1.4,-0.1655211777204736
1926,isoniazid,0,0,[],[],-1.0,-1.0,-1.0,-0.12,-0.0410958904109589,-1.0,-1.4142135623730951,-2.449489742783178,-0.6,-0.4965635331614207
1927,2-hydroxyethyl disulfide,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1928,idronoxil,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1929,al7182,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1930,ifenprodil,0,0,[],[],1.0,1.0,0.6666666666666666,0.28,0.0410958904109589,1.0,1.4142135623730951,1.6329931618554518,1.4,0.4965635331614207
1931,al7099a,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1932,al7089a,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1933,iloperidone,0,0,[],[],1.0,0.0,-0.6666666666666666,-0.2,-0.0547945205479452,1.0,0.0,-1.6329931618554518,-1.0,-0.6620847108818944
1934,alpha-methylisocitric acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1935,iloprost,0,0,[],[],-1.0,0.0,0.3333333333333333,0.36,0.1095890410958904,-1.0,0.0,0.8164965809277259,1.7999999999999998,1.3241694217637887
1936,"2-hydroxymethyl-6-octylsulfanyl-tetrahydro-pyran-3,4,5-triol",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1937,imatinib,0,0,[],[],1.0,0.0,0.0,-0.28,-0.0958904109589041,1.0,0.0,0.0,-1.4,-1.158648244043315
1938,"2-hexyloxy-6-hydroxymethyl-tetrahydro-pyran-3,5-diol",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1939,al5927,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1940,ici-164384,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1941,inhibitor idd 384,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1942,bupivacaine,0,1,[],[4],1.0,1.0,0.3333333333333333,0.28,0.0,1.0,1.4142135623730951,0.8164965809277259,1.4,0.0
1943,butabarbital,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1944,clonazepam,0,0,[],[],1.0,1.0,0.6666666666666666,-0.04,-0.0410958904109589,1.0,1.4142135623730951,1.6329931618554518,-0.1999999999999999,-0.4965635331614207
1945,inositol,0,0,[],[],-1.0,-1.0,0.0,0.04,0.0684931506849315,-1.0,-1.4142135623730951,0.0,0.1999999999999999,0.827605888602368
1946,inotuzumab ozogamicin,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1947,crizanlizumab,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1948,glyoxylic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1949,brexpiprazole,0,0,[],[],-1.0,0.0,0.6666666666666666,0.04,-0.0410958904109589,-1.0,0.0,1.6329931618554518,0.1999999999999999,-0.4965635331614207
1950,bimatoprost,0,0,[],[],1.0,0.0,-0.3333333333333333,0.12,-0.0821917808219178,1.0,0.0,-0.8164965809277259,0.6,-0.9931270663228416
1951,bimekizumab,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1952,binodenoson,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1953,bioallethrin,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1954,dapoxetine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1955,birch bark extract,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1956,glymidine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1957,adenosine monotungstate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1958,"9-acetyl-2,3,4,9-tetrahydro-1h-carbazol-1-one",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1959,phosphocreatine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1960,dapagliflozin,0,0,[],[],-1.0,0.0,-0.3333333333333333,-0.04,-0.1232876712328767,-1.0,0.0,-0.8164965809277259,-0.1999999999999999,-1.4896905994842622
1961,dansylamide,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1962,"bis-1,2-{[(z)-2-carboxy-2-methyl-1,3-dioxane]-5-yloxycarbamoyl}-ethane",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1963,damoctocog alfa pegol,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1964,dalteparin,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1965,"adenosine 3',5'-diphosphate",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1966,bisacodyl,0,0,[],[],-1.0,-1.0,0.3333333333333333,-0.12,-0.0410958904109589,-1.0,-1.4142135623730951,0.8164965809277259,-0.6,-0.4965635331614207
1967,brexucabtagene autoleucel,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1968,gantenerumab,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1969,isoflurane,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1970,isoetharine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1971,8-anilinonaphthalene-1-sulfonic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1972,coagulation factor ix human,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1973,coagulation factor ix (recombinant),0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1974,ioflupane i-123,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1975,clozapine,0,0,[],[],1.0,0.0,0.3333333333333333,-0.04,0.0684931506849315,1.0,0.0,0.8164965809277259,-0.1999999999999999,0.827605888602368
1976,cloxazolam,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1977,phosphomethylphosphonic acid guanosyl ester,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1978,cloxacillin,0,0,[],[],-1.0,-1.0,-0.3333333333333333,0.04,-0.0410958904109589,-1.0,-1.4142135623730951,-0.8164965809277259,0.1999999999999999,-0.4965635331614207
1979,phosphoglycolohydroxamic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1980,iproniazid,0,0,[],[],-1.0,-1.0,-1.0,-0.52,-0.136986301369863,-1.0,-1.4142135623730951,-2.449489742783178,-2.6,-1.655211777204736
1981,clotrimazole,0,0,[],[],-1.0,-1.0,-1.0,-0.6,-0.1232876712328767,-1.0,-1.4142135623730951,-2.449489742783178,-2.9999999999999996,-1.4896905994842622
1982,clotiazepam,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1983,isatin,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1984,2-isobutyl-3-methoxypyrazine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1985,clorazepic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1986,7-[(3-chlorobenzyl)oxy]-4-[(methylamino)methyl]-2h-chromen-2-one,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1987,isocitric acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1988,idelalisib,0,0,[],[],-1.0,0.0,0.0,0.28,0.0684931506849315,-1.0,0.0,0.0,1.4,0.827605888602368
1989,ibutilide,0,0,[],[],1.0,0.0,-0.6666666666666666,-0.28,-0.0684931506849315,1.0,0.0,-1.6329931618554518,-1.4,-0.827605888602368
1990,guanosine-5'-diphosphate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1991,"2-deoxy-3,4-bis-o-[3-(4-hydroxyphenyl)propanoyl]-l-threo-pentaric acid",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1992,ethyl loflazepate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1993,apadenoson,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1994,"bis-1,2-{[(z)-2carboxy-2-methyl-1,3-dioxane]-5-yloxycarbonyl}-piperazine",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1995,pimobendan,0,0,[],[],1.0,0.0,0.0,-0.12,0.0136986301369863,1.0,0.0,0.0,-0.6,0.1655211777204736
1996,drotaverine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1997,dronedarone,0,0,[],[],-1.0,-1.0,-0.3333333333333333,-0.6,-0.1506849315068493,-1.0,-1.4142135623730951,-0.8164965809277259,-2.9999999999999996,-1.8207329549252096
1998,antithrombin alfa,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
1999,etizolam,0,0,[],[],-1.0,0.0,0.3333333333333333,0.2,0.0,-1.0,0.0,0.8164965809277259,1.0,0.0
2000,etofenamate,0,0,[],[],1.0,1.0,0.0,-0.2,0.0821917808219178,1.0,1.4142135623730951,0.0,-1.0,0.9931270663228416
2001,pimagedine,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2002,"antihemophilic factor, human recombinant",0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2003,doxefazepam,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2004,baclofen,0,0,[],[],-1.0,0.0,0.0,0.28,0.1232876712328767,-1.0,0.0,0.0,1.4,1.4896905994842622
2005,anti-inhibitor coagulant complex,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2006,everolimus,0,0,[],[],-1.0,-1.0,-0.6666666666666666,-0.2,-0.0136986301369863,-1.0,-1.4142135623730951,-1.6329931618554518,-1.0,-0.1655211777204736
2007,kb002,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2008,pimavanserin,0,0,[],[],-1.0,0.0,-0.3333333333333333,-0.28,-0.0410958904109589,-1.0,0.0,-0.8164965809277259,-1.4,-0.4965635331614207
2009,2-deoxy-2-amino glucitol-6-phosphate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2010,ethyl hydrogen diethylamidophosphate,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2011,fluvastatin,0,0,[],[],-1.0,-1.0,-0.3333333333333333,-0.28,-0.1917808219178082,-1.0,-1.4142135623730951,-0.8164965809277259,-1.4,-2.31729648808663
2012,dutasteride,0,0,[],[],1.0,1.0,0.6666666666666666,0.04,0.0410958904109589,1.0,1.4142135623730951,1.6329931618554518,0.1999999999999999,0.4965635331614207
2013,apatorsen,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2014,fr236913,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2015,donepezil,0,0,[],[],-1.0,-1.0,-0.6666666666666666,-0.28,-0.0684931506849315,-1.0,-1.4142135623730951,-1.6329931618554518,-1.4,-0.827605888602368
2016,domoic acid,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2017,famciclovir,0,0,[],[],-1.0,-1.0,-0.6666666666666666,-0.2,-0.0410958904109589,-1.0,-1.4142135623730951,-1.6329931618554518,-1.0,-0.4965635331614207
2018,dodecyldimethylamine n-oxide,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
2019,fedratinib,0,0,[],[],,,,,,0.0,0.0,0.0,0.0,0.0
