,drug_name,Mitochondrial dysfunction count,Mitochondrial dysfunction count marg,Mitochondrial dysfunction,Mitochondrial dysfunction marg,Cmap pAGE Mitochondrial dysfunction level1,Cmap pAGE Mitochondrial dysfunction level2,Cmap pAGE Mitochondrial dysfunction level3,Cmap pAGE Mitochondrial dysfunction level4,Cmap pAGE Mitochondrial dysfunction level5,Cmap pAGE Mitochondrial dysfunction level1 z_score,Cmap pAGE Mitochondrial dysfunction level2 z_score,Cmap pAGE Mitochondrial dysfunction level3 z_score,Cmap pAGE Mitochondrial dysfunction level4 z_score,Cmap pAGE Mitochondrial dysfunction level5 z_score
541,zidovudine,1,0,[5],[],0.0,0.0,-0.1764705882352941,-0.1034482758620689,0.0523255813953488,0,0.0,-0.727606875108999,-0.5570860145311556,0.686243566496721
542,z-pro-prolinal,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
543,"2-(oxalyl-amino)-4,7-dihydro-5h-thieno[2,3-c]pyran-3-carboxylic acid",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
544,7-hydroxystaurosporine,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
545,"3-(carboxymethoxy)thieno[2,3-b]pyridine-2-carboxylic acid",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
546,"3-({[(3s)-3,4-dihydroxybutyl]oxy}amino)-1h,2'h-2,3'-biindol-2'-one",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
547,isocarboxazid,1,0,[5],[],0.0,0.0,-0.4117647058823529,-0.4482758620689655,-0.0988372093023255,0,0.0,-1.697749375254331,-2.4140393963016744,-1.2962378478271397
548,"2-methyl-3,5,7,8-tetrahydro-4h-thiopyrano[4,3-d]pyrimidin-4-one",1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
549,p1-(adenosine-5'-p5-(uridine-5')pentaphosphate,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
550,monothioglycerol,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
551,tedizolid,1,0,[5],[],0.0,1.0,0.0588235294117647,0.1724137931034483,0.1453488372093023,0,1.4142135623730951,0.2425356250363329,0.9284766908852594,1.9062321291575584
552,zenarestat,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
553,oxetacaine,1,0,[2],[],0.0,0.0,0.5294117647058824,0.3103448275862069,0.0523255813953488,0,0.0,2.182820625326997,1.6712580435934667,0.686243566496721
554,irosustat,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
555,lactose,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
556,fluorouracil,1,0,[5],[],0.0,-1.0,-0.0588235294117647,-0.3103448275862069,-0.3546511627906977,0,-1.4142135623730951,-0.2425356250363329,-1.6712580435934667,-4.651206395144443
557,flucytosine,1,1,[1],[2],0.0,-1.0,-0.0588235294117647,-0.1034482758620689,0.0755813953488372,0,-1.4142135623730951,-0.2425356250363329,-0.5570860145311556,0.9912407071619302
558,"4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-ylamine",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
559,alpha-aminobutyric acid,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
560,prasterone sulfate,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
561,apoptone,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
562,eugenol,1,0,[1],[],0.0,0.0,0.2941176470588235,0.2413793103448276,0.0813953488372093,0,0.0,1.212678125181665,1.299867367239363,1.0674899923282328
563,flurbiprofen methyl ester,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
564,pregnenolone,1,0,[2],[],0.0,0.0,-0.2941176470588235,0.1034482758620689,0.1395348837209302,0,0.0,-1.212678125181665,0.5570860145311556,1.829982843991256
565,fluoxymesterone,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
566,fludrocortisone,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
567,procainamide,1,0,[2],[],0.0,0.0,-0.6470588235294118,-0.5172413793103449,-0.1627906976744186,0,0.0,-2.667891875399663,-2.785430072655778,-2.1349799846564657
568,testosterone,1,0,[5],[],0.0,0.0,-0.1764705882352941,-0.2413793103448276,-0.0174418604651162,0,0.0,-0.727606875108999,-1.299867367239363,-0.228747855498907
569,artesunate,1,0,[5],[],0.0,0.0,-0.4117647058823529,-0.1724137931034483,-0.0465116279069767,0,0.0,-1.697749375254331,-0.9284766908852594,-0.6099942813304187
570,propylthiouracil,1,0,[2],[],0.0,0.0,0.1764705882352941,0.0344827586206896,0.0,0,0.0,0.727606875108999,0.1856953381770518,0.0
571,1-{3-oxo-3-[(2s)-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]propyl}-3-phenylquinoxalin-2(1h)-one,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
572,acetic acid salicyloyl-amino-ester,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
573,"hydroxy(oxo)(3-{[(2z)-4-[3-(1h-1,2,4-triazol-1-ylmethyl)phenyl]pyrimidin-2(5h)-ylidene]amino}phenyl)ammonium",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
574,acetyldigitoxin,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
575,"4-{5-[(z)-(2-imino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]furan-2-yl}-2-(trifluoromethyl)benzenesulfonamide",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
576,apremilast,1,0,[5],[],0.0,-1.0,-0.2941176470588235,-0.1724137931034483,0.005813953488372,0,-1.4142135623730951,-1.212678125181665,-0.9284766908852594,0.0762492851663023
577,deslanoside,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
578,delta-amino valeric acid,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
579,s-(n-hydroxy-n-bromophenylcarbamoyl)glutathione,1,1,[3],[4],,,,,,0,0.0,0.0,0.0,0.0
580,betrixaban,1,0,[1],[],0.0,0.0,0.1764705882352941,0.1034482758620689,-0.1337209302325581,0,0.0,0.727606875108999,0.5570860145311556,-1.7537335588249534
581,riluzole,1,0,[2],[],0.0,0.0,-0.0588235294117647,-0.0344827586206896,-0.0523255813953488,0,0.0,-0.2425356250363329,-0.1856953381770518,-0.686243566496721
582,letrozole,1,0,[5],[],0.0,-1.0,0.1764705882352941,-0.0344827586206896,-0.0813953488372093,0,-1.4142135623730951,0.727606875108999,-0.1856953381770518,-1.0674899923282328
583,"5-[5,6-bis(methyloxy)-1h-benzimidazol-1-yl]-3-{[1-(2-chlorophenyl)ethyl]oxy}-2-thiophenecarboxamide",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
584,testolactone,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
585,bretylium,1,1,[1],[2],0.0,-1.0,0.1764705882352941,-0.0344827586206896,0.127906976744186,0,-1.4142135623730951,0.727606875108999,-0.1856953381770518,1.6774842736586515
586,6-cyclohexylmethoxy-2-(3'-chloroanilino) purine,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
587,cerulenin,1,1,[1],[2],0.0,-1.0,-0.1764705882352941,-0.2413793103448276,0.0,0,-1.4142135623730951,-0.727606875108999,-1.299867367239363,0.0
588,droxidopa,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
589,rifabutin,1,0,[5],[],0.0,1.0,0.5294117647058824,0.3103448275862069,-0.1744186046511628,0,1.4142135623730951,2.182820625326997,1.6712580435934667,-2.28747855498907
590,6-cyclohexylmethyloxy-2-(4'-hydroxyanilino)purine,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
591,"2,3,4,5,6-pentafluorobenzyl alcohol",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
592,adenosine 5'-[gamma-thio]triphosphate,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
593,"2-(carboxymethyl)-1-oxo-1,2-dihydronaphtho[1,2-d]isothiazole-4-carboxylic acid 3,3-dioxide",1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
594,manganese,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
595,9-butyl-8-(4-methoxybenzyl)-9h-purin-6-amine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
596,2-(n-morpholino)ethanesulfonic acid,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
597,alfuzosin,1,0,[5],[],0.0,1.0,0.0588235294117647,-0.0344827586206896,-0.1627906976744186,0,1.4142135623730951,0.2425356250363329,-0.1856953381770518,-2.1349799846564657
598,snx-5422,1,1,[5],[1],,,,,,0,0.0,0.0,0.0,0.0
599,irbesartan,1,0,[5],[],0.0,-1.0,0.0588235294117647,0.2413793103448276,-0.0813953488372093,0,-1.4142135623730951,0.2425356250363329,1.299867367239363,-1.0674899923282328
600,solriamfetol,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
601,"3,6-diamino-5-cyano-4-(4-ethoxyphenyl)thieno[2,3-b]pyridine-2-carboxamide",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
602,bacitracin,1,0,[2],[],0.0,0.0,0.2941176470588235,0.1724137931034483,-0.0348837209302325,0,0.0,1.212678125181665,0.9284766908852594,-0.457495710997814
603,progesterone,1,1,[5],[2],0.0,0.0,0.1764705882352941,0.1034482758620689,0.1569767441860465,0,0.0,0.727606875108999,0.5570860145311556,2.058730699490163
604,"9-butyl-8-(2,5-dimethoxy-benzyl)-2-fluoro-9h-purin-6-ylamine",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
605,"9-butyl-8-(2,5-dimethoxy-benzyl)-9h-purin-6-ylamine",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
606,sanglifehrin a,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
607,"9-butyl-8-(2-chloro-3,4,5-trimethoxy-benzyl)-9h-purin-6-ylamine",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
608,"9-butyl-8-(3,4,5-trimethoxybenzyl)-9h-purin-6-amine",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
609,9-butyl-8-(3-methoxybenzyl)-9h-purin-6-amine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
610,"n-(4-acetylphenyl)-5-(5-chloro-2,4-dihydroxyphenyl)-1h-pyrazole-4-carboxamide",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
611,4-{[4-amino-6-(cyclohexylmethoxy)-5-nitrosopyrimidin-2-yl]amino}benzamide,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
612,cannabidiol,1,1,[5],[4],,,,,,0,0.0,0.0,0.0,0.0
613,magnesium levulinate,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
614,"4-{5-[(z)-(2-imino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]furan-2-yl}benzoic acid",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
615,ciclopirox,1,0,[1],[],0.0,0.0,-0.0588235294117647,-0.1724137931034483,-0.1511627906976744,0,0.0,-0.2425356250363329,-0.9284766908852594,-1.9824814143238605
616,meloxicam,1,1,[5],[4],0.0,0.0,0.6470588235294118,0.1724137931034483,-0.1220930232558139,0,0.0,2.667891875399663,0.9284766908852594,-1.601234988492349
617,"4-{[5-(cyclohexyloxy)[1,2,4]triazolo[1,5-a]pyrimidin-7-yl]amino}benzenesulfonamide",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
618,nicotinamide 8-bromo-adenine dinucleotide phosphate,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
619,5-n-allyl-arginine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
620,magnesium acetate,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
621,magnesium cation,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
622,clove oil,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
623,mazindol,1,0,[5],[],0.0,1.0,-0.1764705882352941,-0.0344827586206896,0.063953488372093,0,1.4142135623730951,-0.727606875108999,-0.1856953381770518,0.8387421368293257
624,metyrosine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
625,cannabinol,1,1,[5],[4],,,,,,0,0.0,0.0,0.0,0.0
626,diflunisal,1,0,[4],[],0.0,1.0,-0.0588235294117647,0.0344827586206896,-0.1802325581395348,0,1.4142135623730951,-0.2425356250363329,0.1856953381770518,-2.3637278401553723
627,6-o-cyclohexylmethyl guanine,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
628,almitrine,1,0,[1],[],0.0,0.0,0.2941176470588235,0.2413793103448276,-0.0348837209302325,0,0.0,1.212678125181665,1.299867367239363,-0.457495710997814
629,tak-901,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
630,"2-({[3,5-difluoro-3'-(trifluoromethoxy)biphenyl-4-yl]amino}carbonyl)cyclopent-1-ene-1-carboxylic acid",1,1,[3],[4],,,,,,0,0.0,0.0,0.0,0.0
631,palifosfamide,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
632,(3-chloro-4-propoxy-phenyl)-acetic acid,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
633,"1,4-dithiothreitol",1,2,[5],"[3, 4]",,,,,,0,0.0,0.0,0.0,0.0
634,(2s)-n-[(3e)-5-cyclopropyl-3h-pyrazol-3-ylidene]-2-[4-(2-oxo-1-imidazolidinyl)phenyl]propanamide,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
635,variolin b,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
636,potassium sulfate,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
637,"4-{5-[(z)-(2-imino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]furan-2-yl}benzenesulfonamide",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
638,potassium cation,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
639,2-anilino-6-cyclohexylmethoxypurine,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
640,2-bromoacetyl group,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
641,vanoxerine,1,1,[1],[2],0.0,0.0,-0.2941176470588235,-0.0344827586206896,0.0813953488372093,0,0.0,-1.212678125181665,-0.1856953381770518,1.0674899923282328
642,"2-(3-((4,5,7-trifluorobenzo[d]thiazol-2-yl)methyl)-1h-pyrrolo[2,3-b]pyridin-1-yl)acetic acid",1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
643,"(3r)-3-(aminomethyl)-9-methoxy-1,2,3,4-tetrahydro-5h-[1]benzothieno[3,2-e][1,4]diazepin-5-one",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
644,[4-(2-amino-4-methyl-thiazol-5-yl)-pyrimidin-2-yl]-(3-nitro-phenyl)-amine,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
645,beta-naphthoflavone,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
646,"n-[4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-yl]-n',n'-dimethyl-benzene-1,4-diamine",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
647,"(6s)-1-chloro-3-[(4-fluorobenzyl)oxy]-6-(pyrrolidin-1-ylcarbonyl)pyrrolo[1,2-a]pyrazin-4(6h)-one",1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
648,n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
649,sertraline,1,0,[5],[],0.0,-1.0,-0.1764705882352941,-0.2413793103448276,-0.1569767441860465,0,-1.4142135623730951,-0.727606875108999,-1.299867367239363,-2.058730699490163
650,"4-methyl-5-[(2z)-2-{[4-(4-morpholinyl)phenyl]imino}-2,5-dihydro-4-pyrimidinyl]-1,3-thiazol-2-amine",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
651,"4-(4-propoxy-1h-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
652,"4-(4-methoxy-1h-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
653,"4-[(7-oxo-7h-thiazolo[5,4-e]indol-8-ylmethyl)-amino]-n-pyridin-2-yl-benzenesulfonamide",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
654,"4-(6-{[(1r)-1-(hydroxymethyl)propyl]amino}imidazo[1,2-b]pyridazin-3-yl)benzoic acid",1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
655,4-(6-cyclohexylmethoxy-9h-purin-2-ylamino)--benzamide,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
656,n-(3-cyclopropyl-1h-pyrazol-5-yl)-2-(2-naphthyl)acetamide,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
657,"(5z)-7-{(1r,4s,5r,6r)-6-[(1e)-1-octen-1-yl]-2,3-diazabicyclo[2.2.1]hept-2-en-5-yl}-5-heptenoic acid",1,1,[4],[5],,,,,,0,0.0,0.0,0.0,0.0
658,rhodamine 6g,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
659,raloxifene,1,0,[5],[],0.0,0.0,0.4117647058823529,0.1034482758620689,-0.005813953488372,0,0.0,1.697749375254331,0.5570860145311556,-0.0762492851663023
660,paclitaxel,1,0,[5],[],0.0,0.0,-0.4117647058823529,-0.4482758620689655,-0.127906976744186,0,0.0,-1.697749375254331,-2.4140393963016744,-1.6774842736586515
661,"1-(3,5-dichlorophenyl)-5-methyl-1h-1,2,4-triazole-3-carboxylic acid",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
662,1-(4-iodobenzoyl)-5-methoxy-2-methyl indole-3-acetic acid,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
663,"1-methyl-8-(phenylamino)-4,5-dihydro-1h-pyrazolo[4,3-h]quinazoline-3-carboxylic acid",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
664,pyridoxal,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
665,(+)-2-(4-biphenyl)propionic acid,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
666,"4-{5-[(z)-(2-imino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]-2-furyl}-n-methylbenzenesulfonamide",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
667,p-(2'-iodo-5'-thenoyl)hydrotropic acid,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
668,"2,3-difluorobenzyl alcohol",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
669,paclitaxel docosahexaenoic acid,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
670,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1h-indol-3-yl]-n-[(1s)-1-(hydroxymethyl)propyl]acetamide,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
671,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1h-indol-3-yl]-n-[(1r)-1-(hydroxymethyl)propyl]acetamide,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
672,ranirestat,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
673,obatoclax,1,1,[5],[2],0.0,0.0,0.1764705882352941,-0.1034482758620689,-0.2848837209302325,0,0.0,0.727606875108999,-0.5570860145311556,-3.7362149731488143
674,3-tyrosine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
675,"2,4-difluorobenzyl alcohol 2,4-difluoro-1-(hydroxymethyl)benzene",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
676,[(1s)-4-(1-aminobutylideneamino)-1-carboxybutyl]azanium,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
677,"(5s)-5-iododihydro-2,4(1h,3h)-pyrimidinedione",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
678,"n-cyclopropyl-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
679,"4-(2,4-dimethyl-1,3-thiazol-5-yl)-n-[4-(trifluoromethyl)phenyl]-2-pyrimidinamine",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
680,tetraethylammonium,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
681,(2r)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9h-purin-2-yl}amino)butan-1-ol,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
682,nialamide,1,0,[5],[],0.0,0.0,0.4117647058823529,0.1724137931034483,-0.2209302325581395,0,0.0,1.697749375254331,0.9284766908852594,-2.897472836319489
683,ketoconazole,1,1,[5],[4],0.0,1.0,0.0588235294117647,-0.0344827586206896,0.0,0,1.4142135623730951,0.2425356250363329,-0.1856953381770518,0.0
684,nimesulide,1,1,[4],[5],0.0,0.0,-0.2941176470588235,-0.1034482758620689,0.1046511627906976,0,0.0,-1.212678125181665,-0.5570860145311556,1.372487132993442
685,"(2r)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
686,nitroaspirin,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
687,qr-333,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
688,3-({2-[(4-{[6-(cyclohexylmethoxy)-9h-purin-2-yl]amino}phenyl)sulfonyl]ethyl}amino)propan-1-ol,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
689,3-(6-cyclohexylmethoxy-9h-purin-2-ylamino)-benzenesulfonamide,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
690,6-carboxymethyluracil,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
691,o-acetyl-l-serine,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
692,o6-cyclohexylmethoxy-2-(4'-sulphamoylanilino) purine,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
693,"1-[4-(aminosulfonyl)phenyl]-1,6-dihydropyrazolo[3,4-e]indazole-3-carboxamide",1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
694,1-hydroxy-2-isopropylguanidine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
695,"alpha-d-glucose 1,6-bisphosphate",1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
696,carprofen,1,1,[4],[5],0.0,0.0,0.2941176470588235,0.2413793103448276,0.0348837209302325,0,0.0,1.212678125181665,1.299867367239363,0.457495710997814
697,diazoxide,1,0,[5],[],0.0,-1.0,-0.2941176470588235,-0.1724137931034483,-0.1104651162790697,0,-1.4142135623730951,-1.212678125181665,-0.9284766908852594,-1.4487364181597444
698,adefovir dipivoxil,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
699,glyphosate,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
700,acetoacetyl-coa,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
701,urethane,1,1,[5],[2],,,,,,0,0.0,0.0,0.0,0.0
702,antipyrine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
703,guanosine-5'-monophosphate,1,1,[2],[1],,,,,,0,0.0,0.0,0.0,0.0
704,d-norleucine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
705,"2-(1h-imidazol-1-yl)-9-methoxy-8-(2-methoxyethoxy)benzo[c][2,7]naphthyridin-4-amine",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
706,ephedra sinica root,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
707,"2-(2-chloro-4-fluorophenoxy)-2-methyl-n-[(1r,2s,3s,5s,7s)-5-(methylsulfonyl)-2-adamantyl]propanamide",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
708,"8-benzo[1,3]dioxol-,5-ylmethyl-9-butyl-9h-",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
709,hydroxyurea,1,1,[2],[5],0.0,0.0,-0.5294117647058824,-0.3103448275862069,0.0813953488372093,0,0.0,-2.182820625326997,-1.6712580435934667,1.0674899923282328
710,ghavamiol,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
711,betamethasone,1,0,[5],[],0.0,1.0,0.0588235294117647,0.1724137931034483,0.2151162790697674,0,1.4142135623730951,0.2425356250363329,0.9284766908852594,2.8212235511531865
712,pac-1,1,0,[1],[],0.0,-1.0,-0.2941176470588235,-0.3793103448275862,-0.3313953488372093,0,-1.4142135623730951,-1.212678125181665,-2.0426487199475702,-4.346209254479232
713,uracil,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
714,prednisone,1,0,[5],[],0.0,1.0,0.5294117647058824,0.2413793103448276,-0.1511627906976744,0,1.4142135623730951,2.182820625326997,1.299867367239363,-1.9824814143238605
715,folic acid,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
716,amphetamine,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
717,d-tryptophan,1,1,[4],[5],,,,,,0,0.0,0.0,0.0,0.0
718,deoxyuridine-5'-diphosphate,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
719,ferric pyrophosphate citrate,1,2,[5],"[3, 4]",,,,,,0,0.0,0.0,0.0,0.0
720,fiboflapon,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
721,flavin mononucleotide,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
722,(r)-3-hydroxydecanoyl-coa,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
723,gemcitabine,1,0,[2],[],0.0,0.0,0.1764705882352941,-0.1034482758620689,-0.0697674418604651,0,0.0,0.727606875108999,-0.5570860145311556,-0.914991421995628
724,amibegron,1,0,[4],[],,,,,,0,0.0,0.0,0.0,0.0
725,2-deoxy-2-fluoro-alpha-d-mannosyl fluoride,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
726,anthranilic acid,1,1,[3],[4],,,,,,0,0.0,0.0,0.0,0.0
727,afatinib,1,0,[1],[],0.0,0.0,-0.4117647058823529,-0.1724137931034483,-0.1744186046511628,0,0.0,-1.697749375254331,-0.9284766908852594,-2.28747855498907
728,"2-(6-{[(3-chloro-2-methylphenyl)sulfonyl]amino}pyridin-2-yl)-n,n-diethylacetamide",1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
729,myxothiazol,1,0,[5],[],,,,,,0,0.0,0.0,0.0,0.0
730,2-({5-chloro-2-[(2-methoxy-4-morpholin-4-ylphenyl)amino]pyrimidin-4-yl}amino)-n-methylbenzamide,1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
731,"5-(3-hydroxyphenyl)isothiazol-3(2h)-one 1,1-dioxide",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
732,"5-(4-chloro-5-phenyl-3-thienyl)-1,2,5-thiadiazolidin-3-one 1,1-dioxide",1,0,[1],[],,,,,,0,0.0,0.0,0.0,0.0
733,adenosine-5'-ditungstate,1,1,[1],[2],,,,,,0,0.0,0.0,0.0,0.0
734,dapagliflozin,1,0,[5],[],0.0,0.0,-0.5294117647058824,-0.3103448275862069,0.0406976744186046,0,0.0,-2.182820625326997,-1.6712580435934667,0.5337449961641164
735,gavorestat,1,0,[2],[],,,,,,0,0.0,0.0,0.0,0.0
