,drug_name,Epigenetic alterations count,Epigenetic alterations count marg,Epigenetic alterations,Epigenetic alterations marg,Cmap pAGE Epigenetic alterations level1,Cmap pAGE Epigenetic alterations level2,Cmap pAGE Epigenetic alterations level3,Cmap pAGE Epigenetic alterations level4,Cmap pAGE Epigenetic alterations level5,Cmap pAGE Epigenetic alterations level1 z_score,Cmap pAGE Epigenetic alterations level2 z_score,Cmap pAGE Epigenetic alterations level3 z_score,Cmap pAGE Epigenetic alterations level4 z_score,Cmap pAGE Epigenetic alterations level5 z_score
507,propyl gallate,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
508,colforsin,1,0,[2],[],1.0,0.4285714285714285,0.4117647058823529,0.3888888888888889,0.0402476780185758,1.4142135623730951,1.1338934190276817,1.697749375254331,2.3333333333333335,0.7233393492970543
509,tezacaftor,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
510,"5-(5-chloro-2-thienyl)-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}-1h-1,2,4-triazole-3-sulfonamide",1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
511,"(1s,7s,8s,8ar)-1,2,3,7,8,8a-hexahydro-7-methyl-8-[2-[(2r,4r)-tetrahydro-4-hy droxy-6-oxo-2h-pyran-2-yl]ethyl]-1-naphthalenol",1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
512,2-{4-[4-(4-chloro-phenoxy)-benzenesulfonyl]-tetrahydro-pyran-4-yl}-n-hydroxy-acetamide,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
513,annamycin,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
514,vestipitant,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
515,balsalazide,1,3,[2],"[1, 3, 5]",1.0,0.2857142857142857,0.3529411764705882,0.1944444444444444,-0.0495356037151702,1.4142135623730951,0.7559289460184545,1.455213750217998,1.1666666666666667,-0.8902638145194516
516,ergometrine,1,0,[2],[],0.0,0.7142857142857143,0.5294117647058824,0.5,-0.1207430340557275,0.0,1.8898223650461363,2.182820625326997,3.0,-2.1700180478911633
517,ergotamine,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
518,cortisone acetate,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
519,"5-chloro-n-((1r,2s)-2-(4-(2-oxopyridin-1(2h)-yl)benzamido) cyclopentyl)thiophene-2-carboxamide",1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
520,hydroquinone,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
521,"benzyl 6-benzyl-5,7-dioxo-6,7-dihydro-5h-[1,3]thiazolo[3,2-c]pyrimidine-2-carboxylate",1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
522,lomitapide,1,0,[2],[],-1.0,-0.4285714285714285,-0.1764705882352941,-0.4444444444444444,-0.0773993808049535,-1.4142135623730951,-1.1338934190276817,-0.727606875108999,-2.6666666666666665,-1.391037210186643
523,n-pyridoxyl-glycine-5-monophosphate,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
524,rufinamide,1,0,[2],[],0.0,0.1428571428571428,0.2941176470588235,0.1111111111111111,0.0495356037151702,0.0,0.3779644730092272,1.212678125181665,0.6666666666666666,0.8902638145194516
525,echinacea,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
526,acetylcysteine,1,1,[2],[1],,,,,,0.0,0.0,0.0,0.0,0.0
527,razuprotafib,1,1,[1],[2],,,,,,0.0,0.0,0.0,0.0,0.0
528,tg-100801,1,1,[1],[2],0.0,0.4285714285714285,-0.0588235294117647,0.1111111111111111,0.0154798761609907,0.0,1.1338934190276817,-0.2425356250363329,0.6666666666666666,0.2782074420373286
529,epoprostenol,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
530,"(1s,5s,7r)-n~7~-(biphenyl-4-ylmethyl)-n~3~-hydroxy-6,8-dioxa-3-azabicyclo[3.2.1]octane-3,7-dicarboxamide",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
531,golotimod,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
532,alfacalcidol,1,1,[5],[1],0.0,-0.4285714285714285,-0.0588235294117647,-0.1111111111111111,0.0216718266253869,0.0,-1.1338934190276817,-0.2425356250363329,-0.6666666666666666,0.38949041885226
533,raltitrexed,1,0,[1],[],0.0,-0.4285714285714285,-0.5294117647058824,-0.5555555555555556,-0.1764705882352941,0.0,-1.1338934190276817,-2.182820625326997,-3.3333333333333335,-3.1715648392255464
534,eldelumab,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
535,amcinonide,1,0,[2],[],0.0,-0.1428571428571428,-0.1764705882352941,0.2222222222222222,-0.0959752321981424,0.0,-0.3779644730092272,-0.727606875108999,1.3333333333333333,-1.7248861406314373
536,triflusal,1,1,[2],[4],0.0,0.1428571428571428,-0.0588235294117647,0.1666666666666666,0.1269349845201238,0.0,0.3779644730092272,-0.2425356250363329,1.0,2.2813010247060945
537,elacestrant,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
538,ambroxol,1,1,[2],[3],1.0,0.1428571428571428,0.0588235294117647,-0.1666666666666666,0.0588235294117647,1.4142135623730951,0.3779644730092272,0.2425356250363329,-1.0,1.0571882797418486
539,fluoxymesterone,1,1,[4],[5],,,,,,0.0,0.0,0.0,0.0,0.0
540,tetrastearoyl cardiolipin,1,1,[1],[2],,,,,,0.0,0.0,0.0,0.0,0.0
541,8-(pyrimidin-2-ylamino)naphthalene-2-carboximidamide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
542,sulodexide,1,1,[1],[2],,,,,,0.0,0.0,0.0,0.0,0.0
543,imc-1c11,1,1,[1],[2],,,,,,0.0,0.0,0.0,0.0,0.0
544,filgrastim,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
545,guanosine-5'-triphosphate,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
546,diphenadione,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
547,eugenol,1,0,[5],[],0.0,-0.4285714285714285,0.1764705882352941,0.1111111111111111,0.0835913312693498,0.0,-1.1338934190276817,0.727606875108999,0.6666666666666666,1.5023201870015743
548,metamizole,1,1,[3],[2],0.0,0.7142857142857143,0.4117647058823529,0.1666666666666666,0.0,0.0,1.8898223650461363,1.697749375254331,1.0,0.0
549,lomerizine,1,1,[2],[3],1.0,0.4285714285714285,0.1764705882352941,0.2222222222222222,0.0340557275541795,1.4142135623730951,1.1338934190276817,0.727606875108999,1.3333333333333333,0.6120563724821229
550,roflumilast,1,0,[2],[],0.0,-0.4285714285714285,-0.4117647058823529,-0.0555555555555555,-0.0402476780185758,0.0,-1.1338934190276817,-1.697749375254331,-0.3333333333333333,-0.7233393492970543
551,loncastuximab tesirine,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
552,dirithromycin,1,1,[2],[3],0.0,0.4285714285714285,0.4117647058823529,0.2222222222222222,0.0154798761609907,0.0,1.1338934190276817,1.697749375254331,1.3333333333333333,0.2782074420373286
553,cositecan,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
554,equilenin,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
555,fenretinide,1,0,[2],[],0.0,-0.1428571428571428,-0.2941176470588235,-0.4444444444444444,-0.1083591331269349,0.0,-0.3779644730092272,-1.212678125181665,-2.6666666666666665,-1.9474520942613005
556,sagopilone,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
557,abivertinib,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
558,"(5r,6s,8s)-8-[3-(aminomethyl)phenyl]-6-hydroxy-5-isopropyl-3-oxo-1-phenyl-2,7-dioxa-4-aza-6-phosphanonan-9-oic acid 6-oxide",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
559,"pyrimidine-4,6-dicarboxylic acid bis-(3-methyl-benzylamide)",1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
560,ractopamine,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
561,oxybenzone,1,0,[5],[],0.0,0.1428571428571428,0.0588235294117647,0.0555555555555555,0.0588235294117647,0.0,0.3779644730092272,0.2425356250363329,0.3333333333333333,1.0571882797418486
562,2-[({4-[2-(trifluoromethyl)phenyl]piperidin-1-yl}carbonyl)amino]benzoic acid,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
563,filgotinib,1,0,[2],[],-1.0,-0.4285714285714285,-0.2941176470588235,-0.1666666666666666,-0.0340557275541795,-1.4142135623730951,-1.1338934190276817,-1.212678125181665,-1.0,-0.6120563724821229
564,"3,5-diiodothyropropionic acid",1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
565,metyrosine,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
566,itopride,1,0,[5],[],0.0,0.1428571428571428,0.1764705882352941,0.0,-0.0309597523219814,0.0,0.3779644730092272,0.727606875108999,0.0,-0.5564148840746572
567,capromab pendetide,1,0,[3],[],,,,,,0.0,0.0,0.0,0.0,0.0
568,flumethasone,1,1,[4],[2],0.0,-0.1428571428571428,-0.1764705882352941,0.0555555555555555,0.1021671826625387,0.0,-0.3779644730092272,-0.727606875108999,0.3333333333333333,1.8361691174463688
569,macimorelin,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
570,n-(1-isopropylpiperidin-4-yl)-1-(3-methoxybenzyl)-1h-indole-2-carboxamide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
571,garetosmab,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
572,5-chloro-n-{(3s)-1-[(2s)-1-(4-morpholinyl)-1-oxo-2-propanyl]-2-oxo-3-pyrrolidinyl}-1h-indole-2-sulfonamide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
573,n-(1-adamantyl)-n'-(4-guanidinobenzyl)urea,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
574,dimethyl fumarate,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
575,eprinomectin,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
576,risankizumab,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
577,pinacidil,1,0,[2],[],1.0,0.4285714285714285,0.1764705882352941,0.2222222222222222,0.1021671826625387,1.4142135623730951,1.1338934190276817,0.727606875108999,1.3333333333333333,1.8361691174463688
578,cgs-27023,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
579,ivacaftor,1,0,[2],[],0.0,-0.1428571428571428,0.0588235294117647,-0.1111111111111111,-0.0216718266253869,0.0,-0.3779644730092272,0.2425356250363329,-0.6666666666666666,-0.38949041885226
580,carbomycin,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
581,selenazole-4-carboxyamide-adenine dinucleotide,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
582,miltefosine,1,0,[2],[],0.0,0.1428571428571428,-0.1764705882352941,0.1111111111111111,-0.0526315789473684,0.0,0.3779644730092272,-0.727606875108999,0.6666666666666666,-0.9459053029269172
583,ardeparin,1,1,[1],[2],,,,,,0.0,0.0,0.0,0.0,0.0
584,cp-271485,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
585,cta018,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
586,flutamide,1,0,[2],[],0.0,-0.4285714285714285,-0.1764705882352941,-0.1111111111111111,0.0030959752321981,0.0,-1.1338934190276817,-0.727606875108999,-0.6666666666666666,0.0556414884074657
587,amiodarone,1,1,[2],[1],0.0,-0.4285714285714285,-0.4117647058823529,-0.2222222222222222,-0.0712074303405572,0.0,-1.1338934190276817,-1.697749375254331,-1.3333333333333333,-1.2797542333717116
588,"pyrimidine-4,6-dicarboxylic acid bis-(4-fluoro-3-methyl-benzylamide)",1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
589,vindesine,1,0,[2],[],-1.0,-1.0,-0.7647058823529411,-0.5555555555555556,-0.0402476780185758,-1.4142135623730951,-2.6457513110645907,-3.1529631254723287,-3.3333333333333335,-0.7233393492970543
590,n-(2-(((5-chloro-2-pyridinyl)amino)sulfonyl)phenyl)-4-(2-oxo-1(2h)-pyridinyl)benzamide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
591,fluprednidene acetate,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
592,pyridoxine phosphate,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
593,girentuximab,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
594,thonzonium,1,0,[1],[],-1.0,0.0,-0.3529411764705882,-0.25,-0.0557275541795665,-1.4142135623730951,0.0,-1.455213750217998,-1.5,-1.001546791334383
595,pyrazinamide,1,0,[2],[],0.0,0.4285714285714285,0.5294117647058824,0.1666666666666666,0.1269349845201238,0.0,1.1338934190276817,2.182820625326997,1.0,2.2813010247060945
596,methyl (2s)-2-[[2-[(3r)-1-carbamimidoylpiperidin-3-yl]acetyl]amino]-3-[4-(2-phenylethynyl)phenyl]propanoate,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
597,doramectin,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
598,fluorodopa (18f),1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
599,otilonium,1,0,[2],[],-1.0,-0.4285714285714285,-0.4117647058823529,-0.1666666666666666,0.0712074303405572,-1.4142135623730951,-1.1338934190276817,-1.697749375254331,-1.0,1.2797542333717116
600,s-4-nitrobutyryl-coa,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
601,repaglinide,1,0,[2],[],0.0,-0.1428571428571428,-0.2941176470588235,-0.0555555555555555,0.0030959752321981,0.0,-0.3779644730092272,-1.212678125181665,-0.3333333333333333,0.0556414884074657
602,n-(4-carbamimidoyl-3-choro-phenyl)-2-hydroxy-3-iodo-5-methyl-benzamide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
603,sibutramine,1,0,[3],[],-1.0,-0.4285714285714285,-0.2941176470588235,-0.1111111111111111,0.0030959752321981,-1.4142135623730951,-1.1338934190276817,-1.212678125181665,-0.6666666666666666,0.0556414884074657
604,promegestone,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
605,oleandomycin,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
606,"5-(2-ethoxyethyl)-5-[4-(4-fluorophenoxy)phenoxy]pyrimidine-2,4,6(1h,3h,5h)-trione",1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
607,irbesartan,1,0,[2],[],-1.0,-0.7142857142857143,-0.2941176470588235,-0.2777777777777778,-0.1083591331269349,-1.4142135623730951,-1.8898223650461363,-1.212678125181665,-1.6666666666666667,-1.9474520942613005
608,sibrotuzumab,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
609,melengestrol,1,1,[2],[3],-1.0,-0.2857142857142857,-0.3529411764705882,0.0277777777777777,-0.1176470588235294,-1.4142135623730951,-0.7559289460184545,-1.455213750217998,0.1666666666666666,-2.114376559483697
610,5-chloro-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}-1-benzothiophene-2-sulfonamide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
611,meloxicam,1,0,[2],[],1.0,0.1428571428571428,0.1764705882352941,-0.1111111111111111,-0.0278637770897832,1.4142135623730951,0.3779644730092272,0.727606875108999,-0.6666666666666666,-0.5007733956671915
612,myrrh,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
613,calanolide a,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
614,"n(2)-carbamimidoyl-n-{2-[4-(3-{4-[(5-carboxyfuran-2-yl)methoxy]-2,3-dichlorophenyl}-1-methyl-1h-pyrazol-5-yl)piperidin-1-yl]-2-oxoethyl}-d-leucinamide",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
615,5-cyano-furan-2-carboxylic acid [5-hydroxymethyl-2-(4-methyl-piperidin-1-yl)-phenyl]-amide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
616,"5-chloro-thiophene-2-carboxylic acid ((3s,4s)-4-fluoro- 1-{[2-fluoro-4-(2-oxo-2h-pyridin-1-yl)-phenylcarbamoyl]-methyl}-pyrrolidin-3-yl)-amide",1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
617,ripasudil,1,1,[1],[2],0.0,0.1428571428571428,0.1764705882352941,0.1666666666666666,0.0340557275541795,0.0,0.3779644730092272,0.727606875108999,1.0,0.6120563724821229
618,compound 18,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
619,aceclofenac,1,0,[2],[],1.0,0.5714285714285714,0.4705882352941176,0.3055555555555556,0.0433436532507739,1.4142135623730951,1.511857892036909,1.940285000290664,1.8333333333333337,0.7789808377045201
620,matuzumab,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
621,trastuzumab emtansine,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
622,5-chloro-n-(2-(4-(2-oxopyridin-1(2h)-yl)benzamido)ethyl)thiophene-2-carboxamide,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
623,propiverine,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
624,homosalate,1,0,[5],[],0.0,-0.4285714285714285,-0.2941176470588235,-0.3333333333333333,-0.0402476780185758,0.0,-1.1338934190276817,-1.212678125181665,-2.0,-0.7233393492970543
625,"n,o6-disulfo-glucosamine",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
626,hydrogen peroxide,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
627,"n-((1r,2r)-2-(5-chloro-1h-indole-2-carboxamido)cyclohexyl)-5-methyl-4,5,6,7-tetrahydrothiazolo[5,4-c]pyridine-2-carboxamide",1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
628,acetophenazine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
629,mepivacaine,1,0,[4],[],0.0,0.1428571428571428,0.4117647058823529,-0.0555555555555555,0.0712074303405572,0.0,0.3779644730092272,1.697749375254331,-0.3333333333333333,1.2797542333717116
630,minoxidil,1,0,[2],[],-1.0,-0.1428571428571428,-0.0588235294117647,-0.1111111111111111,0.0216718266253869,-1.4142135623730951,-0.3779644730092272,-0.2425356250363329,-0.6666666666666666,0.38949041885226
631,propacetamol,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
632,5-n-allyl-arginine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
633,chloramphenicol succinate,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
634,lesinurad,1,2,[2],"[3, 4]",0.0,-0.4285714285714285,0.1764705882352941,0.1666666666666666,0.0371517027863777,0.0,-1.1338934190276817,0.727606875108999,1.0,0.6676978608895886
635,dcfbc,1,0,[3],[],,,,,,0.0,0.0,0.0,0.0,0.0
636,selamectin,1,0,[2],[],-1.0,0.0,-0.2352941176470588,-0.4722222222222222,-0.0371517027863777,-1.4142135623730951,0.0,-0.970142500145332,-2.8333333333333335,-0.6676978608895886
637,telaprevir,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
638,ph-284,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
639,phosphatidylethanolamine,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
640,fedratinib,1,1,[3],[4],,,,,,0.0,0.0,0.0,0.0,0.0
641,hydroxyprogesterone,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
642,grapefruit,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
643,99mtc-14 f7 mab,1,0,[3],[],,,,,,0.0,0.0,0.0,0.0,0.0
644,jnj-37822681,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
645,"n-((1r,2s)-2-(5-chloro-1h-indole-2-carboxamido)cyclohexyl)-5-methyl-4,5,6,7-tetrahydrothiazolo[5,4-c]pyridine-2-carboxamide",1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
646,methaqualone,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
647,vitamin e,1,1,[1],[5],,,,,,0.0,0.0,0.0,0.0,0.0
648,etynodiol,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
649,s-{3-[(4-anilinoquinazolin-6-yl)amino]-3-oxopropyl}-l-cysteine,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
650,desmethylsertraline,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
651,rolicyclidine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
652,rolipram,1,0,[2],[],-1.0,-0.2857142857142857,0.0,0.1388888888888889,0.0371517027863777,-1.4142135623730951,-0.7559289460184545,0.0,0.8333333333333334,0.6676978608895886
653,"(3as,4r,9br)-4-(4-hydroxyphenyl)-6-(methoxymethyl)-1,2,3,3a,4,9b-hexahydrocyclopenta[c]chromen-8-ol",1,1,[5],[4],,,,,,0.0,0.0,0.0,0.0,0.0
654,"1-[(4s)-4-amino-5-(1,3-benzothiazol-2-yl)-5-oxopentyl]guanidine",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
655,rhodamine 6g,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
656,olsalazine,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
657,eflornithine,1,0,[2],[],0.0,0.1428571428571428,-0.0588235294117647,0.0,-0.0712074303405572,0.0,0.3779644730092272,-0.2425356250363329,0.0,-1.2797542333717116
658,n-(4-{2-[(3-chlorobenzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
659,allylestrenol,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
660,tamibarotene,1,1,[5],[2],-1.0,-0.1428571428571428,-0.2941176470588235,-0.2222222222222222,0.0773993808049535,-1.4142135623730951,-0.3779644730092272,-1.212678125181665,-1.3333333333333333,1.391037210186643
661,maraviroc,1,1,[2],[3],1.0,0.1428571428571428,0.0588235294117647,-0.2222222222222222,0.0835913312693498,1.4142135623730951,0.3779644730092272,0.2425356250363329,-1.3333333333333333,1.5023201870015743
662,carboxyatractyloside,1,1,[1],[2],,,,,,0.0,0.0,0.0,0.0,0.0
663,tofisopam,1,0,[2],[],0.0,0.1428571428571428,0.2941176470588235,0.1666666666666666,0.0216718266253869,0.0,0.3779644730092272,1.212678125181665,1.0,0.38949041885226
664,np-50301,1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
665,1-[[(1e)-2-(4-chlorophenyl)ethenyl]sulfonyl]-4-[[1-(4-pyridinyl)-4-piperidinyl]methyl]piperazine,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
666,rofecoxib,1,0,[2],[],0.0,-0.2857142857142857,0.0,0.0277777777777777,0.0061919504643962,0.0,-0.7559289460184545,0.0,0.1666666666666666,0.1112829768149314
667,cantharidin,1,1,[5],[1],,,,,,0.0,0.0,0.0,0.0,0.0
668,cediranib,1,0,[1],[],-1.0,-1.0,-0.6470588235294118,-0.6111111111111112,-0.2074303405572755,-1.4142135623730951,-2.6457513110645907,-2.667891875399663,-3.666666666666667,-3.727979723300204
669,rizatriptan,1,1,[3],[4],0.0,-0.4285714285714285,-0.1764705882352941,-0.1111111111111111,-0.0712074303405572,0.0,-1.1338934190276817,-0.727606875108999,-0.6666666666666666,-1.2797542333717116
670,oxypurinol,1,1,[2],[3],1.0,-0.4285714285714285,-0.4117647058823529,-0.1111111111111111,-0.0154798761609907,1.4142135623730951,-1.1338934190276817,-1.697749375254331,-0.6666666666666666,-0.2782074420373286
671,micafungin,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
672,(rp)-camps,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
673,aspartic acid,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
674,ibudilast,1,0,[2],[],0.0,-0.2857142857142857,-0.4705882352941176,-0.0277777777777777,0.0928792569659442,0.0,-0.7559289460184545,-1.940285000290664,-0.1666666666666666,1.6692446522239717
675,ambrisentan,1,0,[3],[],1.0,0.1428571428571428,0.0588235294117647,-0.0555555555555555,0.0835913312693498,1.4142135623730951,0.3779644730092272,0.2425356250363329,-0.3333333333333333,1.5023201870015743
676,pentosan polysulfate,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
677,hycanthone,1,0,[2],[],0.0,0.0,0.0,-0.0833333333333333,-0.0681114551083591,0.0,0.0,0.0,-0.5,-1.2241127449642455
678,azathioprine,1,1,[2],[1],0.0,-0.7142857142857143,-0.2941176470588235,-0.4444444444444444,-0.1145510835913312,0.0,-1.8898223650461363,-1.212678125181665,-2.6666666666666665,-2.058735071076232
679,3-sulfino-l-alanine,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
680,terodiline,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
681,dostarlimab,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
682,"n,n'-dimethyl-n-(acetyl)-n'-(7-nitrobenz-2-oxa-1,3-diazol-4-yl)ethylenediamine",1,0,[4],[],,,,,,0.0,0.0,0.0,0.0,0.0
683,rivoglitazone,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
684,amsacrine,1,0,[2],[],-1.0,-0.7142857142857143,-0.4117647058823529,-0.5,-0.1331269349845201,-1.4142135623730951,-1.8898223650461363,-1.697749375254331,-3.0,-2.3925840015210262
685,mesalazine,1,2,[2],"[1, 3]",0.0,-0.1428571428571428,0.0588235294117647,0.0555555555555555,0.0154798761609907,0.0,-0.3779644730092272,0.2425356250363329,0.3333333333333333,0.2782074420373286
686,technetium tc-99m sestamibi,1,0,[2],[],,,,,,0.0,0.0,0.0,0.0,0.0
687,retapamulin,1,1,[2],[3],-1.0,-0.1428571428571428,-0.4117647058823529,-0.2777777777777778,-0.0030959752321981,-1.4142135623730951,-0.3779644730092272,-1.697749375254331,-1.6666666666666667,-0.0556414884074657
688,troglitazone,1,0,[4],[],-1.0,-0.4285714285714285,-0.2941176470588235,0.0555555555555555,-0.0650154798761609,-1.4142135623730951,-1.1338934190276817,-1.212678125181665,0.3333333333333333,-1.16847125655678
689,"n,n-dimethylarginine",1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
690,methyl-2-s-(alpha-d-mannopyranosyl)-2-thio-alpha-d-mannopyranoside,1,1,[2],[3],,,,,,0.0,0.0,0.0,0.0,0.0
691,"2,3-dimethoxy-12h-[1,3]dioxolo[5,6]indeno[1,2-c]isoquinolin-6-ium",1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
692,tenoxicam,1,0,[2],[],0.0,-0.4285714285714285,0.0588235294117647,-0.0555555555555555,0.0278637770897832,0.0,-1.1338934190276817,0.2425356250363329,-0.3333333333333333,0.5007733956671915
693,bx-528,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
694,beta-naphthoflavone,1,0,[1],[],,,,,,0.0,0.0,0.0,0.0,0.0
695,(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,1,0,[5],[],,,,,,0.0,0.0,0.0,0.0,0.0
