,drug_name,Exhaustion of stem cells count,Exhaustion of stem cells count marg,Exhaustion of stem cells,Exhaustion of stem cells marg,Cmap pAGE Exhaustion of stem cells level1,Cmap pAGE Exhaustion of stem cells level2,Cmap pAGE Exhaustion of stem cells level3,Cmap pAGE Exhaustion of stem cells level4,Cmap pAGE Exhaustion of stem cells level5,Cmap pAGE Exhaustion of stem cells level1 z_score,Cmap pAGE Exhaustion of stem cells level2 z_score,Cmap pAGE Exhaustion of stem cells level3 z_score,Cmap pAGE Exhaustion of stem cells level4 z_score,Cmap pAGE Exhaustion of stem cells level5 z_score
1084,siplizumab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1085,eluxadoline,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1086,bamet-ud2,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1087,1-3 sugar ring of pentamannosyl 6-phosphate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1088,1-(biphenyl-4-ylmethyl)-1h-imidazole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1089,secnidazole,0,0,[],[],,,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,-0.5773502691896256,-0.8164965809277259,-1.5275252316519463
1090,dolutegravir,0,0,[],[],,,1.0,0.3333333333333333,-0.0476190476190476,0,0,1.732050807568877,0.8164965809277259,-0.2182178902359923
1091,fusidic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1092,dolasetron,0,0,[],[],,,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,0.5773502691896256,-0.8164965809277259,-1.5275252316519463
1093,cefaloridine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1094,pentaglyme,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1095,sennosides,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1096,alglucosidase alfa,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1097,cefalotin,0,0,[],[],,,1.0,0.0,0.1428571428571428,0,0,1.732050807568877,0.0,0.6546536707079771
1098,"1-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1099,1-(1-phenylcyclopentyl)methylamine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1100,banoxantrone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1101,simeprevir,0,0,[],[],,,-0.3333333333333333,-0.3333333333333333,0.0476190476190476,0,0,-0.5773502691896256,-0.8164965809277259,0.2182178902359923
1102,simvastatin,0,0,[],[],,,-0.3333333333333333,0.3333333333333333,-0.0476190476190476,0,0,-0.5773502691896256,0.8164965809277259,-0.2182178902359923
1103,sinapoyl coenzyme a,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1104,sincalide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1105,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-ethynylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1106,1-(3-hydroxypropyl)-2-[(3-nitrobenzoyl)amino]-1h-benzimidazol-5-yl pivalate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1107,serdexmethylphenidate,0,2,[],"[3, 4]",,,,,,0,0,0.0,0.0,0.0
1108,"1-[3,3-dimethyl-2-(2-methylamino-propionylamino)-butyryl]-pyrrolidine-2-carboxylic acid(1,2,3,4-tetrahydro-naphthalen-1-yl)-amide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1109,ep-2104r,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1110,"octyl 3-amino-3-deoxy-2-o-(2,6-dideoxy-alpha-l-lyxo-hexopyranosyl)-beta-d-galactopyranoside",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1111,efonidipine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1112,1-methylimidazole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1113,efpeglenatide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1114,1-methylhistidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1115,fx-1006a,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1116,"(1r)-2-[(diaminomethylene)amino]-1-{4-[(4r)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1117,azvudine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1118,octyl 3-deoxy-2-o-(6-deoxy-alpha-l-galactopyranosyl)-beta-d-xylo-hexopyranoside,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1119,b-nonylglucoside,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1120,"1-methyl-2-oxy-5,5-dimethyl pyrrolidine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1121,avatrombopag,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1122,dutogliptin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1123,pentoxyverine,0,0,[],[],,,-0.3333333333333333,-0.6666666666666666,-0.238095238095238,0,0,-0.5773502691896256,-1.6329931618554518,-1.0910894511799618
1124,carfentanil,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1125,carfilzomib,0,0,[],[],,,0.3333333333333333,-0.3333333333333333,-0.238095238095238,0,0,0.5773502691896256,-0.8164965809277259,-1.0910894511799618
1126,"1-[4-(4-chlorobenzyl)-1-(7h-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1127,1-[2-(s)-amino-3-biphenyl-4-yl-propionyl]-pyrrolidine-2-(s)-carbonitrile,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1128,1-naphthylamine-5-sulfonic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1129,serine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1130,peptide yy (3-36),0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1131,alpha-maltotriose,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1132,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-prop-1-yn-1-ylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1133,ellagic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1134,alpha-tocopherol acetate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1135,diphenylpyraline,0,0,[],[],,,1.0,0.0,0.0476190476190476,0,0,1.732050807568877,0.0,0.2182178902359923
1136,diphenoxylate,0,0,[],[],,,-1.0,-0.3333333333333333,-0.238095238095238,0,0,-1.732050807568877,-0.8164965809277259,-1.0910894511799618
1137,diphenidol,0,0,[],[],,,0.3333333333333333,0.0,-0.3333333333333333,0,0,0.5773502691896256,0.0,-1.5275252316519463
1138,diphenhydramine,0,0,[],[],,,0.3333333333333333,0.0,0.0476190476190476,0,0,0.5773502691896256,0.0,0.2182178902359923
1139,1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1140,canaline,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1141,bamifylline,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1142,sifalimumab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1143,sildenafil,0,0,[],[],,,0.3333333333333333,-0.3333333333333333,-0.1428571428571428,0,0,0.5773502691896256,-0.8164965809277259,-0.6546536707079771
1144,silibinin,0,0,[],[],,,0.3333333333333333,0.3333333333333333,0.0476190476190476,0,0,0.5773502691896256,0.8164965809277259,0.2182178902359923
1145,silicon dioxide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1146,"(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1,7]naphtyridin-5-yloxy)-ehylamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1147,avacopan,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1148,saquinavir,0,0,[],[],,,-0.3333333333333333,0.0,0.4285714285714285,0,0,-0.5773502691896256,0.0,1.9639610121239313
1149,dicyclomine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1150,rolofylline,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1151,dihydrexidine,0,0,[],[],,,1.0,0.0,0.1428571428571428,0,0,1.732050807568877,0.0,0.6546536707079771
1152,benzoyl-tyrosine-alanine-fluoro-methyl ketone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1153,sorafenib,0,0,[],[],,,0.3333333333333333,-0.3333333333333333,-0.238095238095238,0,0,0.5773502691896256,-0.8164965809277259,-1.0910894511799618
1154,alpha-d-glucopyranosyl-2-carboxylic acid amide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1155,dihydrogenphosphate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1156,empagliflozin,0,0,[],[],,,1.0,0.6666666666666666,0.1428571428571428,0,0,1.732050807568877,1.6329931618554518,0.6546536707079771
1157,sparteine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1158,"1,3,3-trimethyl-2-[(1e,3e)-3-methylpenta-1,3-dien-1-yl]cyclohexene",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1159,alpha-d-xylopyranose,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1160,alpha-d-fucopyranose,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1161,alpha-arbutin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1162,(tert-butyloxycarbonyl)-alanyl-amino ethyl-formamide,0,1,[],[5],,,,,,0,0,0.0,0.0,0.0
1163,pegademase,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1164,"(1s,2r,5s)-5-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8h)-yl]-2-(2,4,5-trifluorophenyl)cyclohexanamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1165,atogepant,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1166,"1,3-propanediol",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1167,dihydrocodeine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1168,sonidegib,0,0,[],[],,,0.3333333333333333,-0.3333333333333333,-0.5238095238095238,0,0,0.5773502691896256,-0.8164965809277259,-2.400396792595916
1169,alpha-d-glucose-1-phosphate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1170,"sodium phosphate, dibasic",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1171,"sodium phosphate, monobasic",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1172,sparfloxacin,0,0,[],[],,,0.3333333333333333,0.0,-0.1428571428571428,0,0,0.5773502691896256,0.0,-0.6546536707079771
1173,"1,4-butanediol",0,1,[],[3],,,,,,0,0,0.0,0.0,0.0
1174,"1,4-dideoxy-5-dehydro-o2-sulfo-glucuronic acid",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1175,"(s)-2-[(r)-3-amino-4-(2-fluorophenyl)butyryl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1176,dexloxiglumide,0,0,[],[],,,0.3333333333333333,0.0,-0.1428571428571428,0,0,0.5773502691896256,0.0,-0.6546536707079771
1177,dexlansoprazole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1178,enoxacin,0,0,[],[],,,-0.3333333333333333,0.0,0.3333333333333333,0,0,-0.5773502691896256,0.0,1.5275252316519463
1179,enoxaparin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1180,dexfosfoserine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1181,(s)-2-methyl-1-[(4-methyl-5-isoquinoline)sulfonyl]-homopiperazine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1182,"(s)-2-chloro-n-(1-(2-(2-hydroxyethylamino)-2-oxoethyl)-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl)-6h-thieno[2,3-b]pyrrole-5-carboxamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1183,benzquinamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1184,succinobucol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1185,cefixime,0,0,[],[],,,0.3333333333333333,0.3333333333333333,0.1428571428571428,0,0,0.5773502691896256,0.8164965809277259,0.6546536707079771
1186,bempedoic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1187,spermine,0,1,[],[3],,,,,,0,0,0.0,0.0,0.0
1188,dihydroxyacetone phosphate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1189,"deoxycytidylyl-3',5'-guanosine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1190,sotagliflozin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1191,dihydromorphine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1192,beclomethasone dipropionate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1193,sotorasib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1194,"sodium phosphate, monobasic, unspecified form",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1195,alpha-methyl-2-hydroxy-4-diethylaminocinnamic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1196,sodium sulfate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1197,"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1198,rosoxacin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1199,streptozocin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1200,ceftibuten,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1201,cefotaxime,0,0,[],[],,,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,-0.5773502691896256,0.8164965809277259,1.5275252316519463
1202,penicillamine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1203,"1,1,1-trifluoro-3-acetamido-4-phenyl butan-2-one(n-acetyl-l-phenylalanyl trifluoromethyl ketone)",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1204,cefotiam,0,0,[],[],,,0.3333333333333333,0.0,0.3333333333333333,0,0,0.5773502691896256,0.0,1.5275252316519463
1205,"(1s,2s,3r,4s,5s)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl (1e)-2-phenyl-n-(sulfooxy)ethanimidothioate",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1206,calcium phosphate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1207,dihydro-alpha-ergocryptine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1208,(z)-2-[2-(4-methylpiperazin-1-yl)benzyl]diazenecarbothioamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1209,"1,1,1-trifluoro-3-((n-acetyl)-l-leucylamido)-4-phenyl-butan-2-one(n-acetyl-l-leucyl-l-phenylalanyl trifluoromethyl ketone)",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1210,"(z,z)-4-hydroxy-n,n,n-trimethyl-10-oxo-7-[(1-oxo-9-octadecenyl)oxy]-3,5,9-trioxa-4-phosphaheptacos-18-en-1-aminium-4-oxide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1211,cefradine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1212,caprylic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1213,captodiame,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1214,rosuvastatin,0,0,[],[],,,0.3333333333333333,0.3333333333333333,-0.0476190476190476,0,0,0.5773502691896256,0.8164965809277259,-0.2182178902359923
1215,cefoperazone,0,0,[],[],,,0.3333333333333333,0.3333333333333333,0.1428571428571428,0,0,0.5773502691896256,0.8164965809277259,0.6546536707079771
1216,"({[(3e)-2'-oxo-2',7'-dihydro-2,3'-biindol-3(7h)-ylidene]amino}oxy)acetic acid",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1217,axicabtagene ciloleucel,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1218,"1,6-di-o-phosphono-d-mannitol",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1219,alpha-ketoisovalerate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1220,dimethylthiambutene,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1221,{4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy}acetic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1222,baricitinib,0,0,[],[],,,0.3333333333333333,-0.3333333333333333,-0.1428571428571428,0,0,0.5773502691896256,-0.8164965809277259,-0.6546536707079771
1223,cefamandole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1224,rozrolimupab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1225,rucaparib,0,0,[],[],,,1.0,1.0,0.4285714285714285,0,0,1.732050807568877,2.449489742783178,1.9639610121239313
1226,solifenacin,0,0,[],[],,,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,-0.5773502691896256,0.8164965809277259,1.5275252316519463
1227,"1,4-dithio-alpha-d-glucopyranose",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1228,cefdinir,0,0,[],[],,,-1.0,0.0,-0.238095238095238,0,0,-1.732050807568877,0.0,-1.0910894511799618
1229,sphinxolide b,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1230,atorvastatin,0,0,[],[],,,0.3333333333333333,0.6666666666666666,0.1428571428571428,0,0,0.5773502691896256,1.6329931618554518,0.6546536707079771
1231,somapacitan,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1232,atomoxetine,0,0,[],[],,,0.3333333333333333,0.0,0.0476190476190476,0,0,0.5773502691896256,0.0,0.2182178902359923
1233,pentabromophenol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1234,(1s)-menthyl hexyl phosphonate group,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1235,dimenhydrinate,0,1,[],[5],,,0.3333333333333333,0.3333333333333333,0.0476190476190476,0,0,0.5773502691896256,0.8164965809277259,0.2182178902359923
1236,cefepime,0,0,[],[],,,-0.3333333333333333,-0.6666666666666666,-0.1428571428571428,0,0,-0.5773502691896256,-1.6329931618554518,-0.6546536707079771
1237,alpha-l-methyl-fucose,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1238,dexmedetomidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1239,(s)-3-phenyllactic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1240,sulpiride,0,0,[],[],,,1.0,1.0,0.0476190476190476,0,0,1.732050807568877,2.449489742783178,0.2182178902359923
1241,rocuronium,0,0,[],[],,,0.3333333333333333,0.0,0.1428571428571428,0,0,0.5773502691896256,0.0,0.6546536707079771
1242,"1,6-fructose diphosphate (linear form)",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1243,sufentanil,0,0,[],[],,,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,-0.5773502691896256,-0.8164965809277259,-1.5275252316519463
1244,"{[2-amino-4-oxo-6,7-di(sulfanyl-κs)-3,5,5a,8,9a,10-hexahydro-4h-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(dioxo)sulfanylmolybdenum",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1245,sufugolix,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1246,sulconazole,0,0,[],[],,,-0.3333333333333333,-0.3333333333333333,0.1428571428571428,0,0,-0.5773502691896256,-0.8164965809277259,0.6546536707079771
1247,difelikefalin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1248,ceftriaxone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1249,(s)-wiskostatin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1250,pentanal,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1251,capmatinib,0,1,[],[5],,,,,,0,0,0.0,0.0,0.0
1252,bendamustine,0,0,[],[],,,-1.0,0.0,0.0476190476190476,0,0,-1.732050807568877,0.0,0.2182178902359923
1253,encainide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1254,diethylcarbamazine,0,0,[],[],,,0.3333333333333333,0.3333333333333333,0.0476190476190476,0,0,0.5773502691896256,0.8164965809277259,0.2182178902359923
1255,(2-bromoethyl)(2-'formyl-4'-aminophenyl) acetate,0,1,[],[5],,,,,,0,0,0.0,0.0,0.0
1256,enclomiphene,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1257,(s)-econazole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1258,(2-carbamoylmethyl-5-propyl-octahydro-indol-7-yl)acetic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1259,pentamidine,0,0,[],[],,,-0.3333333333333333,0.0,0.0476190476190476,0,0,-0.5773502691896256,0.0,0.2182178902359923
1260,encorafenib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1261,difloxacin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1262,sucralfate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1263,sulfapyridine,0,0,[],[],,,0.3333333333333333,0.0,-0.238095238095238,0,0,0.5773502691896256,0.0,-1.0910894511799618
1264,"dibenzofuran-4,6-dicarboxylic acid",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1265,pentazocine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1266,diclofenamide,0,0,[],[],,,0.3333333333333333,0.6666666666666666,0.4285714285714285,0,0,0.5773502691896256,1.6329931618554518,1.9639610121239313
1267,[4-({4-[(5-cyclopropyl-1h-pyrazol-3-yl)amino]-6-(methylamino)pyrimidin-2-yl}amino)phenyl]acetonitrile,0,1,[],[3],,,,,,0,0,0.0,0.0,0.0
1268,diclofenac,0,0,[],[],,,-1.0,0.0,0.0476190476190476,0,0,-1.732050807568877,0.0,0.2182178902359923
1269,celiprolol,0,0,[],[],,,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,-0.5773502691896256,-0.8164965809277259,-1.5275252316519463
1270,cenegermin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1271,(2e)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1272,[4-(3-aminomethyl-phenyl)-piperidin-1-yl]-(5-phenethyl- pyridin-3-yl)-methanone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1273,(2e)-3-(2-oct-1-yn-1-ylphenyl)acrylic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1274,didesmethylrocaglamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1275,(2e)-n-hydroxy-3-[1-methyl-4-(phenylacetyl)-1h-pyrrol-2-yl]prop-2-enamide,0,1,[],[3],,,,,,0,0,0.0,0.0,0.0
1276,diamorphine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1277,benzbromarone,0,0,[],[],,,0.3333333333333333,0.0,-0.4285714285714285,0,0,0.5773502691896256,0.0,-1.9639610121239313
1278,"synthetic conjugated estrogens, b",0,1,[],[4],,,,,,0,0,0.0,0.0,0.0
1279,di-stearoyl-3-sn-phosphatidylcholine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1280,tak-475,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1281,cenicriviroc,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1282,dezocine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1283,cefuroxime,0,0,[],[],,,0.3333333333333333,0.6666666666666666,0.1428571428571428,0,0,0.5773502691896256,1.6329931618554518,0.6546536707079771
1284,sulfamoxole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1285,sulfaphenazole,0,0,[],[],,,-0.3333333333333333,0.0,0.3333333333333333,0,0,-0.5773502691896256,0.0,1.5275252316519463
1286,"dextrose, unspecified form",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1287,rocaglamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1288,ataluren,0,0,[],[],,,0.3333333333333333,0.3333333333333333,-0.0476190476190476,0,0,0.5773502691896256,0.8164965809277259,-0.2182178902359923
1289,cetrorelix,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1290,benzyl n-[(2s)-5-(diaminomethylamino)-1-[[(2s)-4-fluoro-3-oxobutan-2-yl]amino]-1-oxopentan-2-yl]carbamate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1291,cerivastatin,0,0,[],[],,,-0.3333333333333333,-0.6666666666666666,-0.1428571428571428,0,0,-0.5773502691896256,-1.6329931618554518,-0.6546536707079771
1292,atenolol,0,0,[],[],,,-0.3333333333333333,0.0,0.1428571428571428,0,0,-0.5773502691896256,0.0,0.6546536707079771
1293,"(s)-2-((s)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-n-methyl-3-naphtalen-2-yl-propionamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1294,dexchlorpheniramine maleate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1295,dextropropoxyphene,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1296,cetilistat,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1297,td-2749,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1298,benzoic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1299,benzonatate,0,0,[],[],,,-1.0,0.0,-0.0476190476190476,0,0,-1.732050807568877,0.0,-0.2182178902359923
1300,dexrabeprazole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1301,enfuvirtide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1302,cephalexin,0,0,[],[],,,-1.0,0.0,-0.238095238095238,0,0,-1.732050807568877,0.0,-1.0910894511799618
1303,13-deoxydoxorubicin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1304,(s)-4-hydroxymandelonitrile,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1305,[2(formyl-hydroxy-amino)-ethyl]-phosphonic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1306,talarozole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1307,ropeginterferon alfa-2b,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1308,pentagastrin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1309,belzutifan,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1310,benzocaine,0,0,[],[],,,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,0.5773502691896256,-0.8164965809277259,-1.5275252316519463
1311,cepeginterferon alfa-2b,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1312,dexbrompheniramine,0,1,[],[5],,,1.0,0.3333333333333333,0.1428571428571428,0,0,1.732050807568877,0.8164965809277259,0.6546536707079771
1313,benzthiazide,0,0,[],[],,,-1.0,-0.6666666666666666,-0.3333333333333333,0,0,-1.732050807568877,-1.6329931618554518,-1.5275252316519463
1314,rociverine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
1315,ttp889,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
