,drug_name,Changes in the extracellular matrix structure count,Changes in the extracellular matrix structure count marg,Changes in the extracellular matrix structure,Changes in the extracellular matrix structure marg,Cmap pAGE Changes in the extracellular matrix structure level1,Cmap pAGE Changes in the extracellular matrix structure level2,Cmap pAGE Changes in the extracellular matrix structure level3,Cmap pAGE Changes in the extracellular matrix structure level4,Cmap pAGE Changes in the extracellular matrix structure level5,Cmap pAGE Changes in the extracellular matrix structure level1 z_score,Cmap pAGE Changes in the extracellular matrix structure level2 z_score,Cmap pAGE Changes in the extracellular matrix structure level3 z_score,Cmap pAGE Changes in the extracellular matrix structure level4 z_score,Cmap pAGE Changes in the extracellular matrix structure level5 z_score
1396,monothioglycerol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1397,zeranol,0,0,[],[],,,0.0,-0.1428571428571428,-0.2857142857142857,0,0,0,-0.3779644730092272,-1.511857892036909
1398,mitomycin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1399,moexipril,0,0,[],[],,,0.0,0.1428571428571428,0.0714285714285714,0,0,0,0.3779644730092272,0.3779644730092272
1400,slx-4090,0,0,[],[],,,,,,0,0,0,0.0,0.0
1401,mometasone,0,0,[],[],,,0.0,0.4285714285714285,0.2142857142857142,0,0,0,1.1338934190276817,1.1338934190276817
1402,4-[3-(1h-benzimidazol-2-yl)-1h-indazol-6-yl]-2-methoxyphenol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1403,midazolam,0,0,[],[],,,0.0,0.4285714285714285,0.0,0,0,0,1.1338934190276817,0.0
1404,ximelagatran,0,0,[],[],,,,,,0,0,0,0.0,0.0
1405,mianserin,0,0,[],[],,,0.0,-0.7142857142857143,-0.2857142857142857,0,0,0,-1.8898223650461363,-1.511857892036909
1406,mexazolam,0,0,[],[],,,,,,0,0,0,0.0,0.0
1407,mevastatin,0,0,[],[],,,0.0,0.7142857142857143,0.0714285714285714,0,0,0,1.8898223650461363,0.3779644730092272
1408,[2-(3-dibenzofuran-4-yl-phenyl)-1-hydroxy-1-phosphono-ethyl]-phosphonic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1409,(2s)-1-amino-3-[(5-nitroquinolin-8-yl)amino]propan-2-ol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1410,metyrapone,0,0,[],[],,,0.0,0.1428571428571428,-0.0714285714285714,0,0,0,0.3779644730092272,-0.3779644730092272
1411,toripalimab,0,0,[],[],,,,,,0,0,0,0.0,0.0
1412,"[3,5-dibromo-4-(4-hydroxy-3-phenethylcarbamoyl-phenoxy)-phenyl]-acetic acid",0,0,[],[],,,,,,0,0,0,0.0,0.0
1413,warfarin,0,0,[],[],,,0.0,-0.1428571428571428,-0.2142857142857142,0,0,0,-0.3779644730092272,-1.1338934190276817
1414,wx-uk1,0,0,[],[],,,,,,0,0,0,0.0,0.0
1415,metolazone,0,0,[],[],,,0.0,-1.0,0.0,0,0,0,-2.6457513110645907,0.0
1416,"4-[(4-o-sulfamoylbenzyl)(4-cyanophenyl)amino]-4h-[1,2,4]-triazole",0,0,[],[],,,,,,0,0,0,0.0,0.0
1417,methyl (3s)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate,0,0,[],[],,,,,,0,0,0,0.0,0.0
1418,uridylyl-2'-5'-phospho-guanosine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1419,n-benzyl-4-sulfamoyl-benzamide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1420,"n-[1-(aminomethyl)cyclopropyl]-3-(benzylsulfonyl)-n~2~-[(1s)-2,2,2-trifluoro-1-(4-hydroxyphenyl)ethyl]-l-alaninamide",0,0,[],[],,,,,,0,0,0,0.0,0.0
1421,voxelotor,0,0,[],[],,,,,,0,0,0,0.0,0.0
1422,"(2s)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one",0,0,[],[],,,,,,0,0,0,0.0,0.0
1423,xylazine,0,0,[],[],,,0.0,0.1428571428571428,-0.0714285714285714,0,0,0,0.3779644730092272,-0.3779644730092272
1424,metipranolol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1425,metergoline,0,0,[],[],,,0.0,0.7142857142857143,0.4285714285714285,0,0,0,1.8898223650461363,2.2677868380553634
1426,yohimbine,0,0,[],[],,,0.0,0.4285714285714285,0.2857142857142857,0,0,0,1.1338934190276817,1.511857892036909
1427,"4-[3-(3-nitrophenyl)-1,2,4-oxadiazol-5-yl]butanoic acid",0,1,[],[5],,,,,,0,0,0,0.0,0.0
1428,"n,n,n-trimethyl-2-(phosphonooxy)ethanaminium",0,0,[],[],,,,,,0,0,0,0.0,0.0
1429,volinanserin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1430,vintafolide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1431,"n-(2,3,4,5,6-pentaflouro-benzyl)-4-sulfamoyl-benzamide",0,0,[],[],,,,,,0,0,0,0.0,0.0
1432,"n-(2,3-difluoro-benzyl)-4-sulfamoyl-benzamide",0,0,[],[],,,,,,0,0,0,0.0,0.0
1433,"n-(2,6-diflouro-benzyl)-4-sulfamoyl-benzamide",0,0,[],[],,,,,,0,0,0,0.0,0.0
1434,"[4-(5-naphthalen-2-yl-1h-pyrrolo[2,3-b]pyridin-3-yl)phenyl]acetic acid",0,0,[],[],,,,,,0,0,0,0.0,0.0
1435,vilobelimab,0,0,[],[],,,,,,0,0,0,0.0,0.0
1436,"4-[(3-bromo-4-o-sulfamoylbenzyl)(4-cyanophenyl)amino]-4h-[1,2,4]-triazole",0,0,[],[],,,,,,0,0,0,0.0,0.0
1437,vilazodone,0,0,[],[],,,0.0,0.4285714285714285,0.2857142857142857,0,0,0,1.1338934190276817,1.511857892036909
1438,(2-{[(4-bromo-2-fluorobenzyl)amino]carbonyl}-5-chlorophenoxy)acetic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1439,"[4-amino-2-(tert-butylamino)-1,3-thiazol-5-yl](phenyl)methanone",0,0,[],[],,,,,,0,0,0,0.0,0.0
1440,vidarabine,0,0,[],[],,,0.0,-0.1428571428571428,0.0,0,0,0,-0.3779644730092272,0.0
1441,"(2,2-diphosphonoethyl)(dodecyl)dimethylphosphonium",0,0,[],[],,,,,,0,0,0,0.0,0.0
1442,vestipitant,0,0,[],[],,,,,,0,0,0,0.0,0.0
1443,methotrimeprazine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1444,4-methylimidazole,0,0,[],[],,,,,,0,0,0,0.0,0.0
1445,gamma-carboxy-l-glutamic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1446,undecyl-phosphinic acid butyl ester,0,0,[],[],,,,,,0,0,0,0.0,0.0
1447,secretin human,0,0,[],[],,,,,,0,0,0,0.0,0.0
1448,phenazopyridine,0,0,[],[],,,0.0,0.1428571428571428,-0.2857142857142857,0,0,0,0.3779644730092272,-1.511857892036909
1449,secobarbital,0,0,[],[],,,,,,0,0,0,0.0,0.0
1450,phenobarbital,0,0,[],[],,,,,,0,0,0,0.0,0.0
1451,saxagliptin,0,0,[],[],,,0.0,-0.4285714285714285,0.2142857142857142,0,0,0,-1.1338934190276817,1.1338934190276817
1452,"sar9, met (o2)11-substance p",0,0,[],[],,,,,,0,0,0,0.0,0.0
1453,1-chloro-6-(4-hydroxyphenyl)-2-naphthol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1454,1-deaza-adenosine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1455,salbutamol,0,0,[],[],,,0.0,-0.4285714285714285,0.1428571428571428,0,0,0,-1.1338934190276817,0.7559289460184545
1456,phenytoin,0,0,[],[],,,0.0,0.1428571428571428,-0.0714285714285714,0,0,0,0.3779644730092272,-0.3779644730092272
1457,su-11652,0,0,[],[],,,0.0,-0.1428571428571428,-0.2142857142857142,0,0,0,-0.3779644730092272,-1.1338934190276817
1458,phosphoaminophosphonic acid guanylate ester,0,0,[],[],,,,,,0,0,0,0.0,0.0
1459,2-hydroxy-5-(2-mercapto-ethylsulfamoyl)-benzoic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1460,"2-hydroxy-3,5-diiodobenzoic acid",0,0,[],[],,,,,,0,0,0,0.0,0.0
1461,perampanel,0,0,[],[],,,0.0,0.4285714285714285,0.0714285714285714,0,0,0,1.1338934190276817,0.3779644730092272
1462,n-acetylserotonin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1463,nifedipine,0,0,[],[],,,0.0,-0.1428571428571428,-0.2857142857142857,0,0,0,-0.3779644730092272,-1.511857892036909
1464,reboxetine,0,0,[],[],,,0.0,0.4285714285714285,0.0714285714285714,0,0,0,1.1338934190276817,0.3779644730092272
1465,"(1s)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",0,0,[],[],,,,,,0,0,0,0.0,0.0
1466,phenacemide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1467,perphenazine,0,0,[],[],,,0.0,0.1428571428571428,0.0714285714285714,0,0,0,0.3779644730092272,0.3779644730092272
1468,1-(hydroxymethyleneamino)-8-hydroxy-octane,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1469,podofilox,0,0,[],[],,,,,,0,0,0,0.0,0.0
1470,pirlindole,0,0,[],[],,,0.0,-0.7142857142857143,0.0714285714285714,0,0,0,-1.8898223650461363,0.3779644730092272
1471,"1-methyl-3-oxo-1,3-dihydro-benzo[c]isothiazole-5-sulfonic acid amide",0,0,[],[],,,,,,0,0,0,0.0,0.0
1472,pinazepam,0,0,[],[],,,,,,0,0,0,0.0,0.0
1473,sgs-742,0,0,[],[],,,,,,0,0,0,0.0,0.0
1474,pitolisant,0,0,[],[],,,,,,0,0,0,0.0,0.0
1475,"1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine",0,0,[],[],,,,,,0,0,0,0.0,0.0
1476,plazomicin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1477,"1-tert-butyl-3-(4-chloro-phenyl)-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine",0,0,[],[],,,,,,0,0,0,0.0,0.0
1478,polatuzumab vedotin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1479,"2-[(5,6-diphenylfuro[2,3-d]pyrimidin-4-yl)amino]ethanol",0,0,[],[],,,,,,0,0,0,0.0,0.0
1480,2-amino-3-hydroxy-3-phosphonooxy-propionic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1481,s-palmitoyl-l-cysteine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1482,porphobilinogen,0,0,[],[],,,,,,0,0,0,0.0,0.0
1483,"1-n-(4-sulfamoylphenyl-ethyl)-2,4,6-trimethylpyridinium",0,0,[],[],,,,,,0,0,0,0.0,0.0
1484,1-hydroxy-1-thio-glycerol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1485,sr 140333,0,0,[],[],,,,,,0,0,0,0.0,0.0
1486,2-ethoxyethanol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1487,selegiline,0,0,[],[],,,0.0,-0.1428571428571428,-0.2857142857142857,0,0,0,-0.3779644730092272,-1.511857892036909
1488,beta-alanine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1489,varenicline,0,0,[],[],,,0.0,-0.1428571428571428,-0.0714285714285714,0,0,0,-0.3779644730092272,-0.3779644730092272
1490,vapreotide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1491,indane-5-sulfonamide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1492,4-oxosebacic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1493,"4-{[4-{[(1r,2r)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-n-methylbenzenesulfonamide",0,0,[],[],,,,,,0,0,0,0.0,0.0
1494,"4-oxo-2-phenylmethanesulfonyl-octahydro-pyrrolo[1,2-a]pyrazine-6-carboxylic acid [1-(n-hydroxycarbamimidoyl)-piperidin-4-ylmethyl]-amide",0,1,[],[5],,,,,,0,0,0,0.0,0.0
1495,methoxyflurane,0,0,[],[],,,,,,0,0,0,0.0,0.0
1496,"(2s,3s,4e,6e,8s,9s)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid",0,0,[],[],,,,,,0,0,0,0.0,0.0
1497,"ethyl 3-[(e)-2-amino-1-cyanoethenyl]-6,7-dichloro-1-methyl-1h-indole-2-carboxylate",0,0,[],[],,,,,,0,0,0,0.0,0.0
1498,n-({[4-(aminosulfonyl)phenyl]amino}carbonyl)-4-methylbenzenesulfonamide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1499,n-1-methylheptylformamide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1500,methadone,0,0,[],[],,,,,,0,0,0,0.0,0.0
1501,"alpha,beta-methyleneadenosine 5'-triphosphate",0,0,[],[],,,,,,0,0,0,0.0,0.0
1502,tyropanoic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1503,n-allyl-5-amidinoaminooxy-propyloxy-3-chloro-n-cyclopentylbenzamide,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1504,methacrylyl-coenzyme a,0,0,[],[],,,,,,0,0,0,0.0,0.0
1505,n-acetylalanine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1506,"(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl 1h-pyrrolo[2,3-b]pyridine-3-carboxylate",0,0,[],[],,,,,,0,0,0,0.0,0.0
1507,tulobuterol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1508,ulimorelin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1509,"n-(2-thienylmethyl)-2,5-thiophenedisulfonamide",0,0,[],[],,,,,,0,0,0,0.0,0.0
1510,alpha-d-glucose 6-phosphate,0,0,[],[],,,,,,0,0,0,0.0,0.0
1511,4-piperidin-4-ylbutanal,0,0,[],[],,,,,,0,0,0,0.0,0.0
1512,"(2s,3r)-3-(6-amino-9h-purin-9-yl)nonan-2-ol",0,0,[],[],,,,,,0,0,0,0.0,0.0
1513,alpha-fluoro-carboxymethyldethia coenzyme a complex,0,0,[],[],,,,,,0,0,0,0.0,0.0
1514,"n-(5,6-diphenylfuro[2,3-d]pyrimidin-4-yl)glycine",0,0,[],[],,,,,,0,0,0,0.0,0.0
1515,n-(5-chloro-benzo[b]thiophen-3-ylmethyl)-2-[6-chloro-oxo-3-(2-pyridin-2-yl-ethylamino)-2h-pyrazin-1-yl]-acetamide,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1516,valinomycin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1517,beta-hydroxyasparagine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1518,methoxyphenamine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1519,valine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1520,"(2s,3s)-3-formyl-2-({[(4-methylphenyl)sulfonyl]amino}methyl)pentanoic acid",0,0,[],[],,,,,,0,0,0,0.0,0.0
1521,beta-d-galactosamine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1522,"n-(4-oxo-5,6,7,8-tetrahydro-4h-[1,3]thiazolo[5,4-c]azepin-2-yl)acetamide",0,0,[],[],,,,,,0,0,0,0.0,0.0
1523,4-s-glutathionyl-5-pentyl-tetrahydro-furan-2-ol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1524,4-nitrocatechol sulfate,0,0,[],[],,,,,,0,0,0,0.0,0.0
1525,methyltestosterone,0,0,[],[],,,,,,0,0,0,0.0,0.0
1526,n-(3-aminopropyl)-2-nitrobenzenamine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1527,(2s)-3-[(r)-[(1s)-1-amino-3-phenylpropyl](hydroxy)phosphoryl]-2-benzylpropanoic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1528,[n-(3-dibenzylcarbamoyl-oxiranecarbonyl)-hydrazino]-acetic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1529,[phenylalaninyl-prolinyl]-[2-(pyridin-4-ylamino)-ethyl]-amine,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1530,4-sulfonamide-[4-(thiomethylaminobutane)]benzamide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1531,(2s)-4-(4-fluorobenzyl)-n-(3-sulfanylpropyl)piperazine-2-carboxamide,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1532,"(9as)-4-bromo-9a-butyl-7-hydroxy-1,2,9,9a-tetrahydro-3h-fluoren-3-one",0,0,[],[],,,,,,0,0,0,0.0,0.0
1533,temsirolimus,0,0,[],[],,,0.0,-1.0,-0.2857142857142857,0,0,0,-2.6457513110645907,-1.511857892036909
1534,"(9beta,13alpha,14beta,17alpha)-2-methoxyestra-1,3,5(10)-triene-3,17-diyl disulfamate",0,0,[],[],,,,,,0,0,0,0.0,0.0
1535,bupranolol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1536,butabarbital,0,0,[],[],,,,,,0,0,0,0.0,0.0
1537,clonazepam,0,0,[],[],,,0.0,0.7142857142857143,0.2142857142857142,0,0,0,1.8898223650461363,1.1338934190276817
1538,isoniazid,0,0,[],[],,,0.0,-0.4285714285714285,-0.2142857142857142,0,0,0,-1.1338934190276817,-1.1338934190276817
1539,butalbital,0,0,[],[],,,0.0,-0.4285714285714285,-0.2142857142857142,0,0,0,-1.1338934190276817,-1.1338934190276817
1540,clomethiazole,0,0,[],[],,,0.0,0.1428571428571428,0.2142857142857142,0,0,0,0.3779644730092272,1.1338934190276817
1541,clofibrate,0,0,[],[],,,0.0,0.4285714285714285,-0.0714285714285714,0,0,0,1.1338934190276817,-0.3779644730092272
1542,"7,8-dihydroinosine",0,0,[],[],,,,,,0,0,0,0.0,0.0
1543,clofedanol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1544,butobarbital,0,0,[],[],,,,,,0,0,0,0.0,0.0
1545,6-phospho-d-gluconic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1546,6-hydroxydopa quinone,0,0,[],[],,,,,,0,0,0,0.0,0.0
1547,ixabepilone,0,0,[],[],,,0.0,-0.1428571428571428,0.3571428571428571,0,0,0,-0.3779644730092272,1.8898223650461363
1548,butriptyline,0,0,[],[],,,,,,0,0,0,0.0,0.0
1549,jnj-17216498,0,0,[],[],,,,,,0,0,0,0.0,0.0
1550,clobazam,0,0,[],[],,,,,,0,0,0,0.0,0.0
1551,jnj-27390467,0,0,[],[],,,,,,0,0,0,0.0,0.0
1552,"6-hydroxy-1,6-dihydro purine nucleoside",0,0,[],[],,,,,,0,0,0,0.0,0.0
1553,"7-pyridin-2-yl-n-(3,4,5-trimethoxyphenyl)-7h-pyrrolo[2,3-d]pyrimidin-2-amine",0,0,[],[],,,,,,0,0,0,0.0,0.0
1554,bulevirtide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1555,bupivacaine,0,0,[],[],,,0.0,-0.7142857142857143,-0.2857142857142857,0,0,0,-1.8898223650461363,-1.511857892036909
1556,inhibitor idd 384,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1557,ici-164384,0,0,[],[],,,,,,0,0,0,0.0,0.0
1558,ibutilide,0,0,[],[],,,0.0,0.4285714285714285,0.3571428571428571,0,0,0,1.1338934190276817,1.8898223650461363
1559,idd552,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1560,idd594,0,0,[],[],,,,,,0,0,0,0.0,0.0
1561,cupric oxide,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1562,incb-9471,0,0,[],[],,,,,,0,0,0,0.0,0.0
1563,incb7839,0,0,[],[],,,,,,0,0,0,0.0,0.0
1564,cryptenamine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1565,brinzolamide,0,0,[],[],,,0.0,-0.4285714285714285,-0.2857142857142857,0,0,0,-1.1338934190276817,-1.511857892036909
1566,anz-100,0,0,[],[],,,,,,0,0,0,0.0,0.0
1567,idelalisib,0,0,[],[],,,0.0,-0.4285714285714285,0.2142857142857142,0,0,0,-1.1338934190276817,1.1338934190276817
1568,al5927,0,0,[],[],,,,,,0,0,0,0.0,0.0
1569,idronoxil,0,0,[],[],,,,,,0,0,0,0.0,0.0
1570,al7182,0,0,[],[],,,,,,0,0,0,0.0,0.0
1571,ifenprodil,0,0,[],[],,,0.0,0.4285714285714285,0.0714285714285714,0,0,0,1.1338934190276817,0.3779644730092272
1572,al7099a,0,0,[],[],,,,,,0,0,0,0.0,0.0
1573,al7089a,0,0,[],[],,,,,,0,0,0,0.0,0.0
1574,iloperidone,0,0,[],[],,,0.0,0.1428571428571428,0.0714285714285714,0,0,0,0.3779644730092272,0.3779644730092272
1575,iloprost,0,0,[],[],,,0.0,-0.7142857142857143,-0.2857142857142857,0,0,0,-1.8898223650461363,-1.511857892036909
1576,imatinib,0,0,[],[],,,0.0,-0.4285714285714285,-0.1428571428571428,0,0,0,-1.1338934190276817,-0.7559289460184545
1577,isoleucine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1578,inotuzumab ozogamicin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1579,tenocyclidine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1580,"9-acetyl-2,3,4,9-tetrahydro-1h-carbazol-1-one",0,0,[],[],,,,,,0,0,0,0.0,0.0
1581,dansylamide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1582,"adenosine 3',5'-diphosphate",0,0,[],[],,,,,,0,0,0,0.0,0.0
1583,bitolterol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1584,glutethimide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1585,guselkumab,0,0,[],[],,,,,,0,0,0,0.0,0.0
1586,darolutamide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1587,dasabuvir,0,0,[],[],,,0.0,-0.4285714285714285,0.2857142857142857,0,0,0,-1.1338934190276817,1.511857892036909
1588,gavorestat,0,1,[],[5],,,,,,0,0,0,0.0,0.0
1589,gemeprost,0,0,[],[],,,,,,0,0,0,0.0,0.0
1590,gemfibrozil,0,0,[],[],,,0.0,-0.7142857142857143,-0.2142857142857142,0,0,0,-1.8898223650461363,-1.1338934190276817
1591,delorazepam,0,0,[],[],,,,,,0,0,0,0.0,0.0
1592,betaxolol,0,0,[],[],,,0.0,-0.1428571428571428,-0.2857142857142857,0,0,0,-0.3779644730092272,-1.511857892036909
1593,gestrinone,0,0,[],[],,,0.0,0.1428571428571428,0.1428571428571428,0,0,0,0.3779644730092272,0.7559289460184545
1594,gilteritinib,0,0,[],[],,,,,,0,0,0,0.0,0.0
1595,gimeracil,0,0,[],[],,,0.0,0.7142857142857143,0.2142857142857142,0,0,0,1.8898223650461363,1.1338934190276817
1596,ginkgo biloba,0,0,[],[],,,,,,0,0,0,0.0,0.0
1597,deflazacort,0,0,[],[],,,0.0,-0.7142857142857143,-0.2857142857142857,0,0,0,-1.8898223650461363,-1.511857892036909
1598,deferasirox,0,0,[],[],,,0.0,-0.1428571428571428,-0.1428571428571428,0,0,0,-0.3779644730092272,-0.7559289460184545
1599,debromohymenialdisine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1600,dapagliflozin,0,0,[],[],,,0.0,-0.4285714285714285,-0.3571428571428571,0,0,0,-1.1338934190276817,-1.8898223650461363
1601,glyoxylic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1602,glymidine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1603,clorazepic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1604,8-anilinonaphthalene-1-sulfonic acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1605,ioflupane i-123,0,0,[],[],,,,,,0,0,0,0.0,0.0
1606,clozapine,0,0,[],[],,,0.0,-0.1428571428571428,-0.2142857142857142,0,0,0,-0.3779644730092272,-1.1338934190276817
1607,diminazene,0,0,[],[],,,,,,0,0,0,0.0,0.0
1608,cloxacillin,0,0,[],[],,,0.0,-0.1428571428571428,0.0714285714285714,0,0,0,-0.3779644730092272,0.3779644730092272
1609,iproniazid,0,0,[],[],,,0.0,-0.1428571428571428,0.5,0,0,0,-0.3779644730092272,2.6457513110645907
1610,clotrimazole,0,0,[],[],,,0.0,-0.4285714285714285,0.0,0,0,0,-1.1338934190276817,0.0
1611,clotiazepam,0,0,[],[],,,,,,0,0,0,0.0,0.0
1612,isocitric acid,0,0,[],[],,,,,,0,0,0,0.0,0.0
1613,birch bark extract,0,0,[],[],,,,,,0,0,0,0.0,0.0
1614,isoetharine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1615,isoflurane,0,0,[],[],,,,,,0,0,0,0.0,0.0
1616,brexucabtagene autoleucel,0,0,[],[],,,,,,0,0,0,0.0,0.0
1617,brexpiprazole,0,0,[],[],,,0.0,-0.4285714285714285,0.0714285714285714,0,0,0,-1.1338934190276817,0.3779644730092272
1618,bimatoprost,0,0,[],[],,,0.0,-0.4285714285714285,-0.0714285714285714,0,0,0,-1.1338934190276817,-0.3779644730092272
1619,binodenoson,0,0,[],[],,,,,,0,0,0,0.0,0.0
1620,bioallethrin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1621,dapoxetine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1622,al6528,0,0,[],[],,,,,,0,0,0,0.0,0.0
1623,imidafenacin,0,0,[],[],,,,,,0,0,0,0.0,0.0
1624,al5424,0,0,[],[],,,,,,0,0,0,0.0,0.0
1625,bufuralol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1626,erdosteine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1627,aurothioglucose,0,0,[],[],,,,,,0,0,0,0.0,0.0
1628,ergoloid mesylate,0,0,[],[],,,,,,0,0,0,0.0,0.0
1629,arformoterol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1630,arecoline,0,0,[],[],,,,,,0,0,0,0.0,0.0
1631,arbutamine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1632,amylmetacresol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1633,ethanol,0,0,[],[],,,,,,0,0,0,0.0,0.0
1634,azimilide,0,0,[],[],,,,,,0,0,0,0.0,0.0
1635,dotatate gallium ga-68,0,0,[],[],,,,,,0,0,0,0.0,0.0
1636,dotarizine,0,0,[],[],,,,,,0,0,0,0.0,0.0
1637,dosulepin,0,0,[],[],,,0.0,-0.4285714285714285,-0.0714285714285714,0,0,0,-1.1338934190276817,-0.3779644730092272
1638,doripenem,0,0,[],[],,,,,,0,0,0,0.0,0.0
1639,fr-234938,0,0,[],[],,,,,,0,0,0,0.0,0.0
1640,fr117016,0,0,[],[],,,,,,0,0,0,0.0,0.0
1641,fr221647,0,0,[],[],,,,,,0,0,0,0.0,0.0
1642,fr230513,0,0,[],[],,,,,,0,0,0,0.0,0.0
1643,fr236913,0,0,[],[],,,,,,0,0,0,0.0,0.0
1644,donepezil,0,0,[],[],,,0.0,0.1428571428571428,0.3571428571428571,0,0,0,0.3779644730092272,1.8898223650461363
1645,eprotirome,0,0,[],[],,,,,,0,0,0,0.0,0.0
1646,aripiprazole,0,0,[],[],,,0.0,-0.1428571428571428,-0.0714285714285714,0,0,0,-0.3779644730092272,-0.3779644730092272
1647,aripiprazole lauroxil,0,0,[],[],,,,,,0,0,0,0.0,0.0
1648,elbasvir,0,0,[],[],,,,,,0,0,0,0.0,0.0
1649,evt-101,0,1,[],[4],,,,,,0,0,0,0.0,0.0
1650,estrone,0,0,[],[],,,0.0,0.7142857142857143,0.1428571428571428,0,0,0,1.8898223650461363,0.7559289460184545
1651,eszopiclone,0,0,[],[],,,,,,0,0,0,0.0,0.0
1652,etafedrine,0,0,[],[],,,,,,0,0,0,0.0,0.0
