,GeneId,aging_mechanisms,criteria,confidence,aging_mechanisms_group
983,FXN,'accumulation of reactive oxygen species',"[""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",3,Mitochondrial dysfunction
984,FXR1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
985,FXYD5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
986,FYN,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
987,FZD2,other,"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,other
988,FZD3,other,"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,other
989,FZD7,'stem cell exhaustion',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Exhaustion of stem cells
990,FZD8,other,"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,other
991,FZR1,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
992,FZR1,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
993,FZR1,'senescent cells accumulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Cell senescence
994,G3BP1,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
995,G3BP2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
996,G6PD,'accumulation of reactive oxygen species',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity reduce mammalian lifespan'""]",2,Mitochondrial dysfunction
997,GABPA,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
998,GABRB3,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
999,GABRD,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1000,GAD1,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1001,GADD45A,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1002,GADD45A,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1003,GADD45G,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1004,GAL3ST4,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1005,GALK2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1006,GALNT7,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1007,GAPVD1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1008,GART,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1009,GATAD1,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1010,GATM,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1011,GCLC,'impairment of the mitochondrial integrity and biogenesis',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Mitochondrial dysfunction
1012,GCLC,'accumulation of reactive oxygen species',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Mitochondrial dysfunction
1013,GCLM,'impairment of the mitochondrial integrity and biogenesis',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity enhance age-related deterioration'""]",3,Mitochondrial dysfunction
1014,GCN1,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1015,GDA,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1016,GDE1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1017,GDF1,'SIRT pathway dysregulation',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Deregulated nutrient sensing
1018,GDF11,other,"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,other
1019,GDF15,'intercellular communication impairment',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",2,Altered intercellular communication
1020,GDI2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1021,GET4,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
1022,GFAP,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1023,GFPT1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1024,GFRA2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1025,GGA2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1026,GGA3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1027,GGH,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1028,GGT1,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
1029,GGT7,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1030,GH1,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Deregulated nutrient sensing
1031,GHR,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",1,Deregulated nutrient sensing
1032,GHRH,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'""]",2,Deregulated nutrient sensing
1033,GHRH,'intercellular communication impairment',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'""]",2,Altered intercellular communication
1034,GHRHR,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Association of genetic variants and gene expression levels with longevity'""]",1,Deregulated nutrient sensing
1035,GHRL,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1036,GHSR,'INS/IGF-1 pathway dysregulation',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Deregulated nutrient sensing
1037,GIPC1,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1038,GIT2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1039,GJA1,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1040,GLE1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1041,GLG1,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
1042,GLO1,'transcriptional alterations',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'""]",3,Epigenetic alterations
1043,GLRX,'accumulation of reactive oxygen species',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Mitochondrial dysfunction
1044,GLRX2,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1045,GLRX2,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1046,GLRX2,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1047,GLRX3,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1048,GLUD1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1049,GLYR1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1050,GLYR1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1051,GMFB,other,"[""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'""]",5,other
1052,GNA11,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1053,GNA12,'TOR pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Deregulated nutrient sensing
1054,GNA13,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1055,GNAQ,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1056,GNB5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1057,GNE,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1058,GNG11,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1059,GNG12,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1060,GNPNAT1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1061,GNPTG,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1062,GOLGA4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1063,GOLGB1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1064,GORASP2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1065,GOSR2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1066,GOT2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1067,GP5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1068,GPC4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1069,GPC5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1070,GPCPD1,other,"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,other
1071,GPR137B,'TOR pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Deregulated nutrient sensing
1072,GPR137B,'disabled macroautophagy',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Disabled macroautophagy
1073,GPRC5B,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1074,GPX1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Mitochondrial dysfunction
1075,GPX4,'accumulation of reactive oxygen species',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'""]",2,Mitochondrial dysfunction
1076,GRAMD2B,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1077,GRAP2,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1078,GRHPR,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1079,GRIA1,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1080,GRIK2,'intercellular communication impairment',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Altered intercellular communication
1081,GRIN2A,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
1082,GRIN2A,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1083,GRK2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1084,GRK5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1085,GRN,other,"[""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",1,other
1086,GRSF1,other,"[""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1087,GSK3A,'transcriptional alterations',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Epigenetic alterations
1088,GSK3A,'alterations in DNA methylation',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Epigenetic alterations
1089,GSK3A,'degradation of proteolytic systems',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Loss of proteostasis
1090,GSK3A,'TOR pathway dysregulation',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Deregulated nutrient sensing
1091,GSK3A,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Deregulated nutrient sensing
1092,GSK3A,'impairment of the mitochondrial integrity and biogenesis',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Mitochondrial dysfunction
1093,GSK3B,'degradation of proteolytic systems',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Loss of proteostasis
1094,GSK3B,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Deregulated nutrient sensing
1095,GSK3B,'impairment of the mitochondrial integrity and biogenesis',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Mitochondrial dysfunction
1096,GSN,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
1097,GSPT1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1098,GSR,'accumulation of reactive oxygen species',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Mitochondrial dysfunction
1099,GSS,other,"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1100,GSTA4,other,"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'""]",2,other
1101,GSTP1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Mitochondrial dysfunction
1102,GSTZ1,'accumulation of reactive oxygen species',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Mitochondrial dysfunction
1103,GYG1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1104,GYPC,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1105,H1-10,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1106,H1-10,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1107,H2AC6,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1108,H3-3B,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1109,H3-3B,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1110,H4C3,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1111,H4C3,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1112,HABP4,'nuclear architecture impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1113,HADHA,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1114,HAUS7,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1115,HBA1,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1116,HBA2,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1117,HBB,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1118,HBP1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'""]",4,Epigenetic alterations
1119,HCCS,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1120,HCRTR2,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1121,HDAC1,'alterations in histone modifications',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'""]",3,Epigenetic alterations
1122,HDAC1,'chromatin remodeling',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'""]",3,Epigenetic alterations
1123,HDAC1,'transcriptional alterations',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'""]",3,Epigenetic alterations
1124,HDAC2,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Epigenetic alterations
1125,HDAC2,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Epigenetic alterations
1126,HDAC2,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Epigenetic alterations
1127,HDAC3,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity protect against age-related impairment'""]",5,Epigenetic alterations
1128,HDAC3,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity protect against age-related impairment'""]",5,Epigenetic alterations
1129,HDAC3,'TOR pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity protect against age-related impairment'""]",5,Deregulated nutrient sensing
1130,HDAC4,'alterations in histone modifications',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Epigenetic alterations
1131,HDAC4,'chromatin remodeling',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Epigenetic alterations
1132,HDAC4,'transcriptional alterations',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Epigenetic alterations
1133,HDAC4,'sterile inflammation',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Altered intercellular communication
1134,HDAC5,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1135,HDAC5,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1136,HDAC5,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1137,HDAC5,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1138,HDAC9,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1139,HDAC9,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1140,HDAC9,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1141,HEBP2,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1142,HELLS,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'""]",5,Epigenetic alterations
